operator,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error
gp,0,0.8,marginal,ALL,66,0.8181818181818182,0.7039345441700697,0.9023647979841516,0.018181818181818188,0.18181818181818182,1.0773665522899851,0.13017611782683755,18.62092867363296,
gp,0,0.8,marginal,baseline,66,0.8181818181818182,0.7039345441700697,0.9023647979841516,0.018181818181818188,0.18181818181818182,1.0773665522899851,0.13017611782683755,18.62092867363296,
gp,0,0.8,adaptive,ALL,66,0.7575757575757576,0.6363888076622838,0.8546316735018541,-0.042424242424242475,0.24242424242424243,1.0808846461778272,0.1592327347191797,21.039190543554206,
gp,0,0.8,adaptive,baseline,66,0.7575757575757576,0.6363888076622838,0.8546316735018541,-0.042424242424242475,0.24242424242424243,1.0808846461778272,0.1592327347191797,21.039190543554206,
gp,0,0.8,mondrian,ALL,66,0.8181818181818182,0.7039345441700697,0.9023647979841516,0.018181818181818188,0.18181818181818182,1.0773665522899851,0.13017611782683755,18.62092867363296,
gp,0,0.8,mondrian,baseline,66,0.8181818181818182,0.7039345441700697,0.9023647979841516,0.018181818181818188,0.18181818181818182,1.0773665522899851,0.13017611782683755,18.62092867363296,
gp,0,0.9,marginal,ALL,66,0.9090909090909091,0.8125573488135269,0.9659028672287315,0.009090909090909038,0.09090909090909091,1.1203322740185564,0.16149333822726086,17.383580326263168,
gp,0,0.9,marginal,baseline,66,0.9090909090909091,0.8125573488135269,0.9659028672287315,0.009090909090909038,0.09090909090909091,1.1203322740185564,0.16149333822726086,17.383580326263168,
gp,0,0.9,adaptive,ALL,66,0.8636363636363636,0.7568586684861609,0.9357018153567446,-0.036363636363636376,0.13636363636363635,1.1347534930422818,0.20470727324145524,18.63334451844095,
gp,0,0.9,adaptive,baseline,66,0.8636363636363636,0.7568586684861609,0.9357018153567446,-0.036363636363636376,0.13636363636363635,1.1347534930422818,0.20470727324145524,18.63334451844095,
gp,0,0.9,mondrian,ALL,66,0.9090909090909091,0.8125573488135269,0.9659028672287315,0.009090909090909038,0.09090909090909091,1.1203322740185564,0.16149333822726086,17.383580326263168,
gp,0,0.9,mondrian,baseline,66,0.9090909090909091,0.8125573488135269,0.9659028672287315,0.009090909090909038,0.09090909090909091,1.1203322740185564,0.16149333822726086,17.383580326263168,
gp,0,0.95,marginal,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.2106848637106324,0.24391126160597462,20.592152790618638,
gp,0,0.95,marginal,baseline,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.2106848637106324,0.24391126160597462,20.592152790618638,
gp,0,0.95,adaptive,ALL,66,0.9090909090909091,0.8125573488135269,0.9659028672287315,-0.040909090909090895,0.09090909090909091,1.148518565315275,0.2108809579122218,18.653271082953374,
