operator,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error
robi,0,0.8,marginal,ALL,65,0.7538461538461538,0.6312714174061591,0.8522769454002582,-0.04615384615384621,0.24615384615384617,1.0753238331571648,0.19997868571178748,80.39791600153994,
robi,0,0.8,marginal,baseline,65,0.7538461538461538,0.6312714174061591,0.8522769454002582,-0.04615384615384621,0.24615384615384617,1.0753238331571648,0.19997868571178748,80.39791600153994,
robi,0,0.8,adaptive,ALL,65,0.7538461538461538,0.6312714174061591,0.8522769454002582,-0.04615384615384621,0.24615384615384617,1.1005289911491583,0.227041894884609,64.31340613542704,
robi,0,0.8,adaptive,baseline,65,0.7538461538461538,0.6312714174061591,0.8522769454002582,-0.04615384615384621,0.24615384615384617,1.1005289911491583,0.227041894884609,64.31340613542704,
robi,0,0.8,mondrian,ALL,65,0.7538461538461538,0.6312714174061591,0.8522769454002582,-0.04615384615384621,0.24615384615384617,1.0753238331571648,0.19997868571178748,80.39791600153994,
robi,0,0.8,mondrian,baseline,65,0.7538461538461538,0.6312714174061591,0.8522769454002582,-0.04615384615384621,0.24615384615384617,1.0753238331571648,0.19997868571178748,80.39791600153994,
robi,0,0.9,marginal,ALL,65,0.8,0.6823120281183095,0.8889841651132548,-0.09999999999999998,0.2,1.1307585276490582,0.24902478695178962,68.8097259286734,
robi,0,0.9,marginal,baseline,65,0.8,0.6823120281183095,0.8889841651132548,-0.09999999999999998,0.2,1.1307585276490582,0.24902478695178962,68.8097259286734,
robi,0,0.9,adaptive,ALL,65,0.8769230769230769,0.7718141059386241,0.945336898398113,-0.023076923076923106,0.12307692307692308,1.1752611460793991,0.27620171431354695,52.49472615663154,
robi,0,0.9,adaptive,baseline,65,0.8769230769230769,0.7718141059386241,0.945336898398113,-0.023076923076923106,0.12307692307692308,1.1752611460793991,0.27620171431354695,52.49472615663154,
robi,0,0.9,mondrian,ALL,65,0.8,0.6823120281183095,0.8889841651132548,-0.09999999999999998,0.2,1.1307585276490582,0.24902478695178962,68.8097259286734,
robi,0,0.9,mondrian,baseline,65,0.8,0.6823120281183095,0.8889841651132548,-0.09999999999999998,0.2,1.1307585276490582,0.24902478695178962,68.8097259286734,
robi,0,0.95,marginal,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.3058783330728099,0.39516809707357686,54.43995313908504,
robi,0,0.95,marginal,baseline,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.3058783330728099,0.39516809707357686,54.43995313908504,
robi,0,0.95,adaptive,ALL,65,0.8923076923076924,0.7906184007420958,0.9555913430791529,-0.0576923076923076,0.1076923076923077,1.240410988877316,0.3474105085421506,53.342878769695886,
robi,0,0.95,adaptive,baseline,65,0.8923076923076924,0.7906184007420958,0.9555913430791529,-0.0576923076923076,0.1076923076923077,1.240410988877316,0.3474105085421506,53.342878769695886,
robi,0,0.95,mondrian,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.3058783330728099,0.39516809707357686,54.43995313908504,
robi,0,0.95,mondrian,baseline,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.3058783330728099,0.39516809707357686,54.43995313908504,
robi,1,0.8,marginal,ALL,65,0.8307692307692308,0.7173438415040521,0.9123739451185258,0.03076923076923077,0.16923076923076924,1.135621608210777,0.30000922534030966,60.15897491455078,
robi,1,0.8,marginal,baseline,50,0.84,0.7088736934048894,0.9282992328167138,0.039999999999999925,0.16,1.1523534907040256,0.3075934491002916,50.086246807861336,
robi,1,0.8,marginal,elevated_risk,15,0.8,0.519108866193147,0.9566879948941633,0.0,0.2,1.0836072778513306,0.27346444218037286,93.73473527018231,
robi,1,0.8,adaptive,ALL,65,0.7692307692307693,0.6481033437257788,0.8647062868093746,-0.03076923076923077,0.23076923076923078,1.1335203550791149,0.3123476560043514,45.11637007377681,
robi,1,0.8,adaptive,baseline,50,0.8,0.6628168916165122,0.899697762527429,0.0,0.2,1.1506690771333574,0.31807394543979106,39.09620642048269,
robi,1,0.8,adaptive,elevated_risk,15,0.6666666666666666,0.3838037325411542,0.881758896633119,-0.13333333333333341,0.3333333333333333,1.0802101973887512,0.28944249826259266,65.18358225142386,
robi,1,0.8,mondrian,ALL,65,0.8307692307692308,0.7173438415040521,0.9123739451185258,0.03076923076923077,0.16923076923076924,1.135621608210777,0.30000922534030966,60.15897491455078,
robi,1,0.8,mondrian,baseline,50,0.84,0.7088736934048894,0.9282992328167138,0.039999999999999925,0.16,1.1523534907040256,0.3075934491002916,50.086246807861336,
robi,1,0.8,mondrian,elevated_risk,15,0.8,0.519108866193147,0.9566879948941633,0.0,0.2,1.0836072778513306,0.27346444218037286,93.73473527018231,
robi,1,0.9,marginal,ALL,65,0.8923076923076924,0.7906184007420958,0.9555913430791529,-0.007692307692307665,0.1076923076923077,1.2120219476654424,0.36925529479863034,52.85356381460336,
robi,1,0.9,marginal,baseline,50,0.92,0.8076572164040372,0.9777720363450703,0.020000000000000018,0.08,1.2300278541087148,0.3699174833968966,44.31917756347656,
robi,1,0.9,marginal,elevated_risk,15,0.8,0.519108866193147,0.9566879948941633,-0.09999999999999998,0.2,1.1560470645917913,0.3667169051719434,81.30151798502602,
robi,1,0.9,adaptive,ALL,65,0.9384615384615385,0.849866599329491,0.9829800288169797,0.038461538461538436,0.06153846153846154,1.3347319014352472,0.49343872833097074,48.29595414396633,
robi,1,0.9,adaptive,baseline,50,0.94,0.8345180533962272,0.9874514121646659,0.039999999999999925,0.06,1.356284929364746,0.5218688479098093,50.05364531648127,
robi,1,0.9,adaptive,elevated_risk,15,0.9333333333333333,0.6805154334216966,0.9983135697586473,0.033333333333333326,0.06666666666666667,1.2677300972196295,0.3979947554591555,42.43698356891652,
robi,1,0.9,mondrian,ALL,65,0.8923076923076924,0.7906184007420958,0.9555913430791529,-0.007692307692307665,0.1076923076923077,1.2120219476654424,0.36925529479863034,52.85356381460336,
robi,1,0.9,mondrian,baseline,50,0.92,0.8076572164040372,0.9777720363450703,0.020000000000000018,0.08,1.2300278541087148,0.3699174833968966,44.31917756347656,
robi,1,0.9,mondrian,elevated_risk,15,0.8,0.519108866193147,0.9566879948941633,-0.09999999999999998,0.2,1.1560470645917913,0.3667169051719434,81.30151798502602,
robi,1,0.95,marginal,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.299433720437818,0.46048242992173605,52.00956902606671,
robi,1,0.95,marginal,baseline,50,0.96,0.8628623743960326,0.9951185665738356,0.010000000000000009,0.04,1.3188972734415765,0.45725062103023056,47.48954219970703,
robi,1,0.95,marginal,elevated_risk,15,0.8,0.519108866193147,0.9566879948941633,-0.1499999999999999,0.2,1.2389274578391771,0.4734096654877578,67.0763251139323,
robi,1,0.95,adaptive,ALL,65,1.0,0.9448283656811867,1.0,0.050000000000000044,0.0,1.4869943614015595,0.6393809961869165,66.04362793815828,
robi,1,0.95,adaptive,baseline,50,1.0,0.9288782635358024,1.0,0.050000000000000044,0.0,1.5118802519781338,0.674451794164255,68.27991156346407,
robi,1,0.95,adaptive,elevated_risk,15,1.0,0.781980639089466,1.0,0.050000000000000044,0.0,1.4096317015656856,0.5224783362624545,58.58934918713897,
robi,1,0.95,mondrian,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.299433720437818,0.46048242992173605,52.00956902606671,
robi,1,0.95,mondrian,baseline,50,0.96,0.8628623743960326,0.9951185665738356,0.010000000000000009,0.04,1.3188972734415765,0.45725062103023056,47.48954219970703,
robi,1,0.95,mondrian,elevated_risk,15,0.8,0.519108866193147,0.9566879948941633,-0.1499999999999999,0.2,1.2389274578391771,0.4734096654877578,67.0763251139323,
robi,2,0.8,marginal,ALL,65,0.8307692307692308,0.7173438415040521,0.9123739451185258,0.03076923076923077,0.16923076923076924,1.1627850668351405,0.29390724514265854,49.12819791353666,
robi,2,0.8,marginal,baseline,37,0.8648648648648649,0.7122522026894279,0.954628007658006,0.06486486486486487,0.13513513513513514,1.1802780547291623,0.2791998141008144,43.815813252217055,
robi,2,0.8,marginal,elevated_risk,28,0.7857142857142857,0.5904689734941717,0.9170393876123615,-0.014285714285714346,0.21428571428571427,1.1404124560022606,0.31529987211261357,56.14813478742327,
robi,2,0.8,adaptive,ALL,65,0.8615384615384616,0.7533617146788831,0.9346803759921305,0.06153846153846154,0.13846153846153847,1.162070774731779,0.28856857020561677,47.012891178067356,
robi,2,0.8,adaptive,baseline,37,0.8918918918918919,0.7458240639225211,0.9697480349312504,0.09189189189189184,0.10810810810810811,1.1805796492423333,0.2730324202871515,38.63568925792006,
robi,2,0.8,adaptive,elevated_risk,28,0.8214285714285714,0.6310666505807964,0.9393570911807924,0.021428571428571352,0.17857142857142858,1.1383988983840696,0.31085956791471925,58.082765143976296,
robi,2,0.8,mondrian,ALL,65,0.8307692307692308,0.7173438415040521,0.9123739451185258,0.03076923076923077,0.16923076923076924,1.1614790672425126,0.2923177184862528,49.206412963867194,
robi,2,0.8,mondrian,baseline,37,0.8648648648648649,0.7122522026894279,0.954628007658006,0.06486486486486487,0.13513513513513514,1.177950903191681,0.27651748786812974,43.95321807036528,
robi,2,0.8,mondrian,elevated_risk,28,0.7857142857142857,0.5904689734941717,0.9170393876123615,-0.014285714285714346,0.21428571428571427,1.1404124560022606,0.31529987211261357,56.14813478742327,
robi,2,0.9,marginal,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,0.023076923076923106,0.07692307692307693,1.2410148408633348,0.35194311532692224,46.79183381065956,
robi,2,0.9,marginal,baseline,37,0.9459459459459459,0.8180508816222507,0.9933854295884712,0.04594594594594592,0.05405405405405406,1.2596271658216402,0.34167160963625265,44.03017949284734,
robi,2,0.9,marginal,elevated_risk,28,0.8928571428571429,0.7177356042846756,0.977334909360941,-0.0071428571428571175,0.10714285714285714,1.217210656837712,0.36632322329385963,50.44116273062569,
robi,2,0.9,adaptive,ALL,65,0.8923076923076924,0.7906184007420958,0.9555913430791529,-0.007692307692307665,0.1076923076923077,1.3000472730721169,0.45464074590892606,52.45974363001378,
robi,2,0.9,adaptive,baseline,37,0.918918918918919,0.7809037937619998,0.9829564693041812,0.018918918918918948,0.08108108108108109,1.3218616961068934,0.43367897349977536,42.567801564898765,
robi,2,0.9,adaptive,elevated_risk,28,0.8571428571428571,0.6733473306842048,0.9596643692029087,-0.04285714285714293,0.14285714285714285,1.2721477741381648,0.48433659015522296,65.5312385017729,
robi,2,0.9,mondrian,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,0.023076923076923106,0.07692307692307693,1.237912582771673,0.34834621291419476,46.63700778432993,
robi,2,0.9,mondrian,baseline,37,0.9459459459459459,0.8180508816222507,0.9933854295884712,0.04594594594594592,0.05405405405405406,1.2540992738311483,0.33550549121443407,43.758187824970975,
robi,2,0.9,mondrian,elevated_risk,28,0.8928571428571429,0.7177356042846756,0.977334909360941,-0.0071428571428571175,0.10714285714285714,1.217210656837712,0.36632322329385963,50.44116273062569,
robi,2,0.95,marginal,ALL,65,0.9692307692307692,0.893229679425601,0.9962517377804871,0.019230769230769273,0.03076923076923077,1.3999102599819397,0.5116412401706022,54.220489638108454,
robi,2,0.95,marginal,baseline,37,0.972972972972973,0.858396904388842,0.9993159689753053,0.02297297297297307,0.02702702702702703,1.4207961123046526,0.5083965279379836,54.06539724813924,
