fold,tau,method,timestamp,group,y_true,allocation,point_forecast
0,0.8,marginal,2025-04-27 12:41:00,baseline,91.52,144.6069631958008,133.11068725585938
0,0.8,marginal,2025-04-27 14:20:00,baseline,93.28,148.12945465087893,136.6331787109375
0,0.8,marginal,2025-04-27 15:59:00,baseline,101.2,153.163649597168,141.66737365722656
0,0.8,marginal,2025-04-27 17:38:00,baseline,109.12,158.57199005126955,147.07571411132812
0,0.8,marginal,2025-04-27 19:17:00,baseline,145.2,168.10589508056643,156.609619140625
0,0.8,marginal,2025-04-27 20:56:00,baseline,153.12,179.87396148681643,168.377685546875
0,0.8,marginal,2025-04-27 22:35:00,baseline,157.52,188.22181610107424,176.7255401611328
0,0.8,marginal,2025-04-28 00:14:00,baseline,192.72,193.68933013916018,182.19305419921875
0,0.8,marginal,2025-04-28 01:53:00,baseline,193.6,202.81236175537111,191.3160858154297
0,0.8,marginal,2025-04-28 03:32:00,baseline,193.6,183.1916799926758,171.69540405273438
0,0.8,marginal,2025-04-28 05:11:00,baseline,192.72,160.127272644043,148.63099670410156
0,0.8,marginal,2025-04-28 06:50:00,baseline,161.04,132.87055114746096,121.37427520751953
0,0.8,marginal,2025-04-28 08:28:00,baseline,154.0,117.88466552734376,106.38838958740234
0,0.8,marginal,2025-04-28 10:07:00,baseline,93.28,114.40114501953126,102.90486907958984
0,0.8,marginal,2025-04-28 11:46:00,baseline,93.28,123.92640594482423,112.43013000488281
0,0.8,marginal,2025-04-28 13:25:00,baseline,125.84,134.00257781982424,122.50630187988281
0,0.8,marginal,2025-04-28 15:04:00,baseline,139.04,156.52355865478518,145.02728271484375
0,0.8,marginal,2025-04-28 16:43:00,baseline,146.08,164.3427267456055,152.84645080566406
0,0.8,marginal,2025-04-28 18:22:00,baseline,148.72,169.8185110473633,158.32223510742188
0,0.8,marginal,2025-04-28 20:01:00,baseline,151.36,177.01640228271486,165.52012634277344
0,0.8,marginal,2025-04-28 21:40:00,baseline,161.04,173.72572235107424,162.2294464111328
0,0.8,marginal,2025-04-28 23:19:00,baseline,194.48,179.80888275146486,168.31260681152344
0,0.8,marginal,2025-04-29 00:58:00,baseline,195.36,207.86085418701174,196.3645782470703
0,0.8,marginal,2025-04-29 02:37:00,baseline,195.36,199.20445159912111,187.7081756591797
0,0.8,marginal,2025-04-29 04:16:00,baseline,193.6,170.17077545166018,158.67449951171875
0,0.8,marginal,2025-04-29 05:54:00,baseline,153.12,151.05441192626955,139.55813598632812
0,0.8,marginal,2025-04-29 07:33:00,baseline,131.12,118.19381622314454,106.69754028320312
0,0.8,marginal,2025-04-29 09:12:00,baseline,58.08,122.46774963378907,110.97147369384766
0,0.8,marginal,2025-04-29 10:51:00,baseline,95.92,92.81406311035157,81.31778717041016
0,0.8,marginal,2025-04-29 12:30:00,baseline,98.56,127.56980041503907,116.07352447509766
0,0.8,marginal,2025-04-29 14:09:00,baseline,118.8,134.72398284912111,123.22770690917969
0,0.8,marginal,2025-04-29 15:48:00,baseline,112.2,157.8712911987305,146.37501525878906
0,0.8,marginal,2025-04-29 17:27:00,baseline,126.72,165.9452658081055,154.44898986816406
0,0.8,marginal,2025-04-29 19:06:00,baseline,141.24,171.3442678833008,159.84799194335938
