model,mae_mean,mae_std,mae_count,mape_mean,mape_std,mape_count,mase_mean,mase_std,mase_count,n_test_mean,n_test_std,n_test_count,rmse_mean,rmse_std,rmse_count,vs_persistence,beats_persistence
tcn,4.846110580659034,0.7716205134243365,8,6.161383700051406,0.8118577218481328,8,0.34515475311614374,0.05710560108039743,8,66.125,0.3535533905932738,8,7.473690172918405,1.0509193997949422,8,0.38558939235464545,True
nbeats,5.27998008888377,0.9346100225083172,8,6.539439879292579,0.9963589002413094,8,0.37618878663020267,0.0698375587886623,8,66.125,0.3535533905932738,8,7.833404959499502,1.4320482892902378,8,0.3560173100915662,True
cnn_cov,5.797983731232581,0.7214919736813207,8,7.0782203506216455,0.6138143572273628,8,0.41282612900989046,0.05353679767596851,8,66.125,0.3535533905932738,8,8.01929579101184,0.9802649333481221,8,0.340735261183644,True
random_forest,5.853918082639508,1.2214678172685944,8,7.344237794259509,1.010806120022077,8,0.41705935829218443,0.09018214175836155,8,66.125,0.3535533905932738,8,8.650911632770706,1.3590742632930153,8,0.2888102463442935,True
xgboost,5.814787553005856,1.2744335270585538,8,7.298982939640717,1.1855270822697914,8,0.41434201123165615,0.09424928172159575,8,66.125,0.3535533905932738,8,8.73311103413673,1.555613227615292,8,0.2820526496319773,True
dlinear,6.994151806946546,0.8474913744580421,8,8.4487737418318,0.7247286641041929,8,0.4979280396547739,0.06219559740865732,8,66.125,0.3535533905932738,8,8.944803839103024,1.0394305173665048,8,0.26464942553194737,True
ridge,6.999527970385561,0.9066900619326694,8,8.460047066769757,0.8970807064305869,8,0.4983178391227469,0.06616628720287274,8,66.125,0.3535533905932738,8,9.007191423534952,1.1571342792388126,8,0.25952055441560856,True
nbeatsx,6.577486814065241,0.8912004089729797,8,7.971255342146602,0.7822902653373568,8,0.468432854664412,0.06616096181042166,8,66.125,0.3535533905932738,8,9.077781443019607,0.8398331641201772,8,0.2537173627175604,True
nlinear,7.068597785821056,0.8355322514755945,8,8.633808356358506,0.6777158535028273,8,0.5030388110625649,0.05956743884646648,8,66.125,0.3535533905932738,8,9.137744704169759,0.9426452140172035,8,0.24878779474414311,True
lstm_cov,6.753865859955797,0.8244910572068344,8,8.274458756721222,1.3075055553907788,8,0.48107342156135424,0.06279135360155387,8,66.125,0.3535533905932738,8,9.162239646426928,1.0256868720450572,8,0.24677407033113494,True
transformer,6.402058685760229,1.2995892719741517,8,8.008619753797742,1.5982407638684093,8,0.45585415228656917,0.09432212803011905,8,66.125,0.3535533905932738,8,9.198375666391525,1.4687465263913755,8,0.24380333519619643,True
rnn_cov,6.836850634229477,1.388639369217287,8,8.469117934009288,2.174292648137142,8,0.48702880127844866,0.10187050215133327,8,66.125,0.3535533905932738,8,9.228066045964647,1.7892579450244932,8,0.24136249489740472,True
gru_cov,7.178611609096934,1.5497404212582828,8,8.760005875412332,2.2548508792903474,8,0.511315474693419,0.11274443543083745,8,66.125,0.3535533905932738,8,9.634406430127058,1.7353284012852255,8,0.20795733137473976,True
persistence,6.522293225857643,0.6549229193848517,8,8.218555679067494,0.5441997949874258,8,0.46435663529791105,0.048771709265529525,8,66.125,0.3535533905932738,8,12.163999253789434,1.0896886305206146,8,0.0,False
rolling_mean_17,12.452828254578927,1.563569249941289,8,15.302854729639018,1.2944413204149188,8,0.8865299086583245,0.11393924418925493,8,66.125,0.3535533905932738,8,16.137667212050456,1.6374984945898232,8,-0.3266744658031042,False
train_mean,14.739177201945663,2.244255420251108,8,17.97825534446326,1.1035966065050595,8,1.0495600048144629,0.1645155314291869,8,66.125,0.3535533905932738,8,18.21237450909714,2.0493313675615794,8,-0.4972357469870332,False
seasonal_naive_17,14.618312396511476,1.6786538741295125,8,17.990653361282604,1.4095232101554345,8,1.0408069011973033,0.12401167570742253,8,66.125,0.3535533905932738,8,18.381161369426398,1.6964552872943883,8,-0.5111116817686534,False
drift,19.22140923116754,4.9026874679247765,8,24.143496000959317,6.298262005454149,8,1.367585456748722,0.3466688368544414,8,66.125,0.3535533905932738,8,23.64523943381463,5.188770902231117,8,-0.9438705100584794,False
seasonal_naive_24,25.190121605191937,3.3213209448095347,8,29.000287032076994,2.4300613135893947,8,1.7929160818506533,0.2372311207807702,8,66.125,0.3535533905932738,8,29.717031505944348,3.3979521898102583,8,-1.4430313489773228,False
