model_a,model_b,dm_stat,p_value,significant_fdr,winner
cnn_cov,dlinear,-1.174621298023172,0.24068595034966944,False,tie
cnn_cov,drift,-17.61373845798895,0.0,True,cnn_cov
cnn_cov,gru_cov,-1.3774298508678542,0.16897424452440135,False,tie
cnn_cov,lstm_cov,0.3948380348634573,0.6931249466284011,False,tie
cnn_cov,nbeats,-2.5093721048023983,0.012398668127411527,True,cnn_cov
cnn_cov,nbeatsx,-3.1119664157581846,0.0019610105353602414,True,cnn_cov
cnn_cov,nlinear,-0.710888207976047,0.4774734723643377,False,tie
cnn_cov,persistence,-5.301322910136355,1.70481770700448e-07,True,cnn_cov
cnn_cov,random_forest,-0.8541588686193928,0.3934118063382668,False,tie
cnn_cov,ridge,-1.3749502745568676,0.1697412713953661,False,tie
cnn_cov,rnn_cov,0.25082346079395984,0.8020500613010806,False,tie
cnn_cov,rolling_mean_15,-17.653880382441784,0.0,True,cnn_cov
cnn_cov,seasonal_naive_15,-4.1628343230312765,3.6808783069330886e-05,True,cnn_cov
cnn_cov,seasonal_naive_24,-22.749078270950903,0.0,True,cnn_cov
cnn_cov,tcn,0.6804941831302419,0.49649564310363314,False,tie
cnn_cov,train_mean,-17.245778835584556,0.0,True,cnn_cov
cnn_cov,transformer,-2.2712336762170047,0.02354232417713842,True,cnn_cov
cnn_cov,xgboost,-1.0623132588773625,0.28858850069424746,False,tie
dlinear,drift,-17.364169590807705,0.0,True,dlinear
dlinear,gru_cov,0.06463946707808141,0.9484859973341304,False,tie
dlinear,lstm_cov,1.3909736172717333,0.16483060874226463,False,tie
dlinear,nbeats,-1.5286411078673297,0.1269638297478759,False,tie
dlinear,nbeatsx,-1.667730353827407,0.09597363605685594,False,tie
dlinear,nlinear,1.3070895976158345,0.1917622060789772,False,tie
dlinear,persistence,-4.8162375730828195,1.9235066281986235e-06,True,dlinear
dlinear,random_forest,0.37364374769583575,0.7088222545350726,False,tie
dlinear,ridge,-0.6491637114083283,0.5165202815534222,False,tie
dlinear,rnn_cov,1.6035279694428082,0.10942766598174636,False,tie
dlinear,rolling_mean_15,-17.38636455818594,0.0,True,dlinear
dlinear,seasonal_naive_15,-3.7083995840616946,0.00023108450970910077,True,dlinear
dlinear,seasonal_naive_24,-22.64982254449385,0.0,True,dlinear
dlinear,tcn,1.4943517900355332,0.13569259006562828,False,tie
dlinear,train_mean,-16.396740296828817,0.0,True,dlinear
dlinear,transformer,-1.146937595669874,0.25193689906780325,False,tie
dlinear,xgboost,0.2145489653679403,0.8302034209454028,False,tie
drift,gru_cov,17.57947984316068,0.0,True,gru_cov
drift,lstm_cov,17.675238057984785,0.0,True,lstm_cov
drift,nbeats,16.870136059662784,0.0,True,nbeats
drift,nbeatsx,16.956068395073835,0.0,True,nbeatsx
drift,nlinear,17.499589713770728,0.0,True,nlinear
drift,persistence,14.894812503076578,0.0,True,persistence
drift,random_forest,17.449137523471908,0.0,True,random_forest
drift,ridge,17.380320973376232,0.0,True,ridge
drift,rnn_cov,17.62403423855721,0.0,True,rnn_cov
drift,rolling_mean_15,12.87685453381179,0.0,True,rolling_mean_15
drift,seasonal_naive_15,15.699340898318265,0.0,True,seasonal_naive_15
drift,seasonal_naive_24,-2.0574948432325364,0.04013860923430168,False,tie
