model,mae_mean,mae_std,mae_count,mape_mean,mape_std,mape_count,mase_mean,mase_std,mase_count,n_test_mean,n_test_std,n_test_count,rmse_mean,rmse_std,rmse_count,vs_persistence,beats_persistence
tcn,14.020990624512335,2.4389914768483605,8,13.308803183784445,3.56971721064999,8,0.8324539385163443,0.15272072936715234,8,64.875,2.4748737341529163,8,19.87914266136664,3.8237888060822645,8,0.3343496795864007,True
lstm_cov,14.298830416105243,2.5086967455292,8,13.928677970201647,3.4609275825553363,8,0.8488041473296303,0.15661803293386406,8,64.875,2.4748737341529163,8,19.941816812756137,4.219688932156691,8,0.3322510443653181,True
rnn_cov,14.413767521750671,1.904703828948021,8,13.72870591751085,2.3145484987085934,8,0.8560902169211569,0.12807616002396996,8,64.875,2.4748737341529163,8,20.083441729351616,3.7838380409181243,8,0.3275087537788362,True
cnn_cov,14.604202966070474,1.6436894385717549,8,13.946988339059152,3.2988954967876896,8,0.8657858178555227,0.1008075114127593,8,64.875,2.4748737341529163,8,20.300224722942378,3.3371268078803986,8,0.32024980546290366,True
random_forest,14.048039815041687,2.317114942007551,8,13.490646460204628,4.120766249591578,8,0.8329386180359376,0.1414495645600843,8,64.875,2.4748737341529163,8,20.529112116353964,4.505622719723342,8,0.312585543006598,True
nlinear,14.801793207323065,1.8199618339430292,8,13.560831256698746,1.9116292695704549,8,0.8787275111876319,0.12133533148906459,8,64.875,2.4748737341529163,8,20.64094792319048,3.4836436452161457,8,0.3088407366071191,True
xgboost,14.459780258137576,2.1227958011055392,8,13.638494855179992,3.8719555658585603,8,0.8572833492743847,0.12956207328689714,8,64.875,2.4748737341529163,8,20.773030188144247,3.9775224018658575,8,0.3044179803803984,True
gru_cov,15.161383082633334,2.4604954666548706,8,14.7184728213591,3.5279868940255894,8,0.8997066953527859,0.15258749933109328,8,64.875,2.4748737341529163,8,20.86291516106368,3.8996002255608784,8,0.30140819459419016,True
dlinear,15.082899233219187,1.781231787874842,8,13.691327730658573,1.767066200321762,8,0.8952934482636354,0.11837493852846069,8,64.875,2.4748737341529163,8,20.95258667773306,3.4322037516499697,8,0.2984055563607542,True
ridge,15.290085360339514,1.8631205620488165,8,13.912421127825136,1.9702858723868943,8,0.907530481488739,0.12265565044764513,8,64.875,2.4748737341529163,8,21.01108549198681,3.5152600376553913,8,0.2964467317215256,True
transformer,15.751546363600681,2.4690317716492154,8,15.141115418775682,3.5084103658022405,8,0.9353685456431473,0.15846800109091563,8,64.875,2.4748737341529163,8,21.884936093033527,3.8036673266721843,8,0.26718596618002144,True
nbeats,15.216406866698982,2.328794642688032,8,14.529933451462608,3.8124621145679036,8,0.9025872007876844,0.14416106103845616,8,64.875,2.4748737341529163,8,22.55877978850705,4.593145260050756,8,0.24462240398614774,True
nbeatsx,15.68583626607194,3.2718619194173875,8,15.194732728671305,5.244327856625263,8,0.9299103688000724,0.19491280839342554,8,64.875,2.4748737341529163,8,22.685458850310617,5.081924434590264,8,0.24038057326358267,True
seasonal_naive_15,17.153282350352114,4.27534980500021,8,15.751377092854849,4.470261570877986,8,1.0194171734347497,0.2674064589106483,8,64.875,2.4748737341529163,8,26.216337210533034,6.973973029512781,8,0.12214960365586637,True
persistence,17.191300616197182,1.9687834604158638,8,17.86005398627869,3.0078749880590587,8,1.0203903653849111,0.1305667612841073,8,64.875,2.4748737341529163,8,29.864242608663975,4.501714421320248,8,0.0,False
rolling_mean_15,36.073961781103286,4.838535169971443,8,33.44424786767172,6.061975591546455,8,2.142207996319462,0.3186275946551111,8,64.875,2.4748737341529163,8,42.46106720892101,5.253944597893162,8,-0.42180291545724796,False
train_mean,37.131237625394064,5.491615365188612,8,36.20578511423414,7.4994442127535175,8,2.205304233242927,0.35822763482281417,8,64.875,2.4748737341529163,8,45.0825994890676,5.226303764769694,8,-0.5095845583570432,False
drift,56.38619277932776,19.021573985228233,8,47.69056942844989,20.905522756888764,8,3.3500401328180685,1.1545311843865305,8,64.875,2.4748737341529163,8,66.59356058687989,21.826745008906983,8,-1.2298760916026146,False
seasonal_naive_24,65.66918904049295,8.310341422769012,8,53.72249168797463,9.192218641142398,8,3.8978323459989404,0.5406908414329947,8,64.875,2.4748737341529163,8,73.36341831248257,8.175049580806023,8,-1.4565638336730817,False
