operator,lag_samples,lag_hours,autocorr
robi,1,1.65,0.7851560184428822
robi,2,3.3,0.5001934369641392
robi,3,4.95,0.19074182794846561
robi,4,6.6,-0.10093424763540332
robi,5,8.25,-0.31570320689780856
robi,6,9.9,-0.44436597630172936
robi,7,11.55,-0.48824581464574496
robi,8,13.2,-0.4839922369195859
robi,9,14.85,-0.41515234438906135
robi,10,16.5,-0.269653596587766
robi,11,18.15,-0.02207747325202895
robi,12,19.8,0.27833640460351894
robi,13,21.45,0.5727679872099686
robi,14,23.1,0.7994307957072802
robi,15,24.75,0.8223094326427153
robi,16,26.4,0.6485056097126127
robi,17,28.05,0.3604406215193846
robi,18,29.7,0.058811944361325065
robi,19,31.35,-0.19914950678891905
robi,20,33.0,-0.38340958021100874
robi,21,34.65,-0.4712724103461606
robi,22,36.3,-0.49578132707384576
robi,23,37.95,-0.4701917806880586
robi,24,39.6,-0.38269765575931686
robi,25,41.25,-0.18496423882067659
robi,26,42.9,0.08378571035024676
robi,27,44.55,0.39024818524452864
robi,28,46.2,0.6616169088878637
robi,29,47.85,0.8372766044239107
robi,30,49.5,0.7861042203272985
robi,31,51.15,0.5363774782799647
robi,32,52.8,0.23790171244180278
robi,33,54.45,-0.053962298388714344
robi,34,56.1,-0.28650750262228236
robi,35,57.75,-0.4252325620154984
robi,36,59.4,-0.4863950750187489
robi,37,61.05,-0.4921200042617818
robi,38,62.7,-0.4491440763199288
robi,39,64.35,-0.3158270140962519
robi,40,66.0,-0.09973184067518623
robi,41,67.65,0.190400431226276
robi,42,69.3,0.4990941063356209
robi,43,70.95,0.7329630454353715
robi,44,72.6,0.8133582408442062
robi,45,74.25,0.6807331387179416
robi,46,75.9,0.4238320329681323
robi,47,77.55,0.1234392193523999
robi,48,79.2,-0.14975529678722174
robi,49,80.85,-0.34140808240472487
robi,50,82.5,-0.46216247496724255
robi,51,84.15,-0.4983939356889564
robi,52,85.8,-0.4947189406786211
robi,53,87.45,-0.4191780433714433
robi,54,89.1,-0.25469732404536244
robi,55,90.75,-0.0001044194922200876
robi,56,92.4,0.2961110072088349
robi,57,94.05,0.580252101579162
robi,58,95.7,0.7781849263639427
robi,59,97.35,0.7676376408594152
robi,60,99.0,0.5777363061853388
