model_a,model_b,dm_stat,p_value,significant_fdr,winner
cnn_cov__default,cnn_cov__default_cov,-7.51040811156525,2.531308496145357e-13,True,cnn_cov__default
cnn_cov__default,cnn_cov__tuned,-1.7653479239102543,0.07808327880844046,False,tie
cnn_cov__default,dlinear__default,-4.121567564587722,4.368895709050413e-05,True,cnn_cov__default
cnn_cov__default,dlinear__default_cov,-7.823161738205441,2.8199664825478976e-14,True,cnn_cov__default
cnn_cov__default,dlinear__tuned,-6.1438516032454205,1.587058484631143e-09,True,cnn_cov__default
cnn_cov__default,drift,-16.756872523394872,0.0,True,cnn_cov__default
cnn_cov__default,gru_cov__default,-5.1868046680586675,3.054013952841217e-07,True,cnn_cov__default
cnn_cov__default,gru_cov__default_cov,-6.865414691736772,1.8674173318800058e-11,True,cnn_cov__default
cnn_cov__default,gru_cov__tuned,-1.513030924318997,0.1308864057526551,False,tie
cnn_cov__default,lstm_cov__default,-4.294010782189215,2.0885672757264828e-05,True,cnn_cov__default
cnn_cov__default,lstm_cov__default_cov,-7.33292756367226,8.519851490973451e-13,True,cnn_cov__default
cnn_cov__default,lstm_cov__tuned,-1.3371821442159606,0.18173896755552277,False,tie
cnn_cov__default,nbeats__default,0.4731835886585575,0.636277764499261,False,tie
cnn_cov__default,nbeats__default_cov,0.4731835886585575,0.636277764499261,False,tie
cnn_cov__default,nbeats__tuned,0.08593620148666764,0.9315497102814689,False,tie
cnn_cov__default,nbeatsx__default,-3.481709469850446,0.0005395048342546893,True,cnn_cov__default
cnn_cov__default,nbeatsx__default_cov,-5.9444785414904935,5.043936823767581e-09,True,cnn_cov__default
cnn_cov__default,nbeatsx__tuned,-0.4700325829423195,0.6385258124570772,False,tie
cnn_cov__default,nlinear__default,-4.7965255937611495,2.103316401713684e-06,True,cnn_cov__default
cnn_cov__default,nlinear__default_cov,-8.518582468627566,2.220446049250313e-16,True,cnn_cov__default
cnn_cov__default,nlinear__tuned,-3.8349955705390024,0.00014072711687562744,True,cnn_cov__default
cnn_cov__default,persistence,-6.7988293142356415,2.860800485393611e-11,True,cnn_cov__default
cnn_cov__default,random_forest__default,-2.481532195783834,0.01339196941192422,True,cnn_cov__default
cnn_cov__default,random_forest__default_cov,-2.481532195783832,0.01339196941192422,True,cnn_cov__default
cnn_cov__default,random_forest__tuned,-2.4600241391880533,0.014212052389897423,True,cnn_cov__default
cnn_cov__default,ridge__default,-4.533263536218119,7.191486744106967e-06,True,cnn_cov__default
cnn_cov__default,ridge__default_cov,-4.533263536218119,7.191486744106967e-06,True,cnn_cov__default
cnn_cov__default,ridge__tuned,-3.0236672537784606,0.002618707449153934,True,cnn_cov__default
cnn_cov__default,rnn_cov__default,-4.306787734371591,1.9754148324002685e-05,True,cnn_cov__default
cnn_cov__default,rnn_cov__default_cov,-4.848031448091335,1.64238872124578e-06,True,cnn_cov__default
cnn_cov__default,rnn_cov__tuned,-0.9254878118503844,0.3551350168966849,False,tie
cnn_cov__default,rolling_mean_17,-14.643780860333145,0.0,True,cnn_cov__default
cnn_cov__default,seasonal_naive_17,-15.712409374941425,0.0,True,cnn_cov__default
cnn_cov__default,seasonal_naive_24,-19.785760619600868,0.0,True,cnn_cov__default
cnn_cov__default,tcn__default,3.078624004349199,0.002187698853526543,True,tcn__default
cnn_cov__default,tcn__default_cov,-7.4164276122492,4.827249711070181e-13,True,cnn_cov__default
cnn_cov__default,tcn__tuned,-0.6220009685412774,0.5342097179453735,False,tie
cnn_cov__default,train_mean,-15.743650520599523,0.0,True,cnn_cov__default
cnn_cov__default,transformer__default,-3.665068507517809,0.0002722641435830564,True,cnn_cov__default
cnn_cov__default,transformer__default_cov,-9.899136589599241,0.0,True,cnn_cov__default
cnn_cov__default,transformer__tuned,-2.5640928002347563,0.010620137390264794,True,cnn_cov__default
cnn_cov__default,xgboost__default,-2.6621644961600768,0.00800068287375888,True,cnn_cov__default
cnn_cov__default,xgboost__default_cov,-2.6621644961600768,0.00800068287375888,True,cnn_cov__default
cnn_cov__default,xgboost__tuned,-2.6056705389925905,0.00942821318325704,True,cnn_cov__default
cnn_cov__default_cov,cnn_cov__tuned,7.098517359037493,4.087397087459976e-12,True,cnn_cov__tuned
cnn_cov__default_cov,dlinear__default,6.7484683647695975,3.941247328498321e-11,True,dlinear__default
cnn_cov__default_cov,dlinear__default_cov,-2.2989963117882377,0.0218947234875011,True,cnn_cov__default_cov
cnn_cov__default_cov,dlinear__tuned,6.314767389454475,5.745275366564329e-10,True,dlinear__tuned
cnn_cov__default_cov,drift,-9.07568286705587,0.0,True,cnn_cov__default_cov
cnn_cov__default_cov,gru_cov__default,6.411032489156094,3.209426058248255e-10,True,gru_cov__default
cnn_cov__default_cov,gru_cov__default_cov,5.483778359472725,6.463890822594465e-08,True,gru_cov__default_cov
cnn_cov__default_cov,gru_cov__tuned,7.257970049667496,1.4599432773820809e-12,True,gru_cov__tuned
