base_model,default,default_cov,tuned,covariates_cost,tuning_gain
cnn_cov,8.01929579101184,14.311033146878383,8.278792243001062,0.43964242771940876,-0.03235900741809143
dlinear,8.944803839103024,14.962464123792879,9.670570953994684,0.40218377366871977,-0.08113840481541955
gru_cov,9.634406430127058,10.643271650937958,8.32864430696979,0.09478901355693503,0.1355311437842307
lstm_cov,9.162239646426928,11.938162064130802,8.370031989148023,0.23252510753262126,0.0864644113066665
nbeats,7.833404959499502,7.833404959499502,7.883485249579959,0.0,-0.006393170063259012
nbeatsx,9.077781443019607,9.948544921379227,8.080257149821712,0.08752671724770192,0.10988635267981084
nlinear,9.137744704169759,12.250705106349198,8.907395806864878,0.25410459031995464,0.025208506558491068
random_forest,8.650911632770706,8.650911632770704,8.743764433763685,-2.0533753144248926e-16,-0.010733296666820812
ridge,9.007191423534952,9.007191423534952,8.68751844926732,0.0,0.035490860495354506
rnn_cov,9.228066045964647,10.006680859826645,8.241329196992286,0.07780949795130032,0.10692780524732512
tcn,7.473690172918405,11.126650042788837,8.171224027594853,0.328307249335833,-0.0933319201810138
transformer,9.198375666391525,13.611635386824414,8.699140387465784,0.32422700101890545,0.054274286790636055
xgboost,8.73311103413673,8.73311103413673,8.753271467876667,0.0,-0.002308505372384733
