rmse,mae,mape,mase,model,fold,n_test,base_model,variant,n_parameters
12.328137424994067,6.993157383030303,8.88845413482695,0.5032425538739069,persistence,0,66,persistence,baseline,0
18.598225368216266,15.327468233181817,19.372869070496954,1.1029973780949258,seasonal_naive_17,0,66,seasonal_naive_17,baseline,0
28.668449098852022,23.602066990470085,31.582299263629015,1.6984551924727838,drift,0,66,drift,baseline,0
15.405034187266022,11.504053827718359,14.685171231413916,0.8278563045373971,rolling_mean_17,0,66,rolling_mean_17,baseline,0
17.10490958965199,13.695075762215916,17.866988780493728,0.9855269264779131,train_mean,0,66,train_mean,baseline,0
28.53674676133537,24.742913013787877,28.888812150725247,1.7805529109860994,seasonal_naive_24,0,66,seasonal_naive_24,baseline,0
11.9034681946321,6.404692080303031,7.936902045526432,0.45321239160845483,persistence,1,66,persistence,baseline,0
18.20399476449837,14.74584554818182,17.740829161675016,1.0434537435036486,seasonal_naive_17,1,66,seasonal_naive_17,baseline,0
17.093687452523895,13.741325996391614,15.99068531919478,0.972371370959245,drift,1,66,drift,baseline,0
15.981543160915672,12.446322806185384,15.032697718460803,0.8807336332483361,rolling_mean_17,1,66,rolling_mean_17,baseline,0
16.797381840910663,13.267839683333333,16.211324332006836,0.9388662685055358,train_mean,1,66,train_mean,baseline,0
28.715351943623755,24.380254150303028,28.035627346420732,1.7252091361990973,seasonal_naive_24,1,66,seasonal_naive_24,baseline,0
12.383534945959735,6.165200391060606,8.392819345602932,0.43360250130228833,persistence,2,66,persistence,baseline,0
17.863853741012818,13.459433042878787,17.983275667636008,0.9466105662948179,seasonal_naive_17,2,66,seasonal_naive_17,baseline,0
27.26240831040207,21.735475389551723,30.063620323263596,1.5286699374069561,drift,2,66,drift,baseline,0
15.719878121329208,11.949226610926916,15.73961940153096,0.8403967784467177,rolling_mean_17,2,66,rolling_mean_17,baseline,0
17.120238741498667,13.08190139239419,17.895186106644807,0.9200585229568168,train_mean,2,66,train_mean,baseline,0
28.961916528773617,24.61290322893939,29.850455626141702,1.7310412845385772,seasonal_naive_24,2,66,seasonal_naive_24,baseline,0
10.794713572725938,5.829912022272726,7.638648620071031,0.41275017719070484,persistence,3,66,persistence,baseline,0
16.15557737313075,12.542521995454546,16.42153721513174,0.8879942195120827,seasonal_naive_17,3,66,seasonal_naive_17,baseline,0
30.922295148905974,27.714317507943367,30.380365061631192,1.9621375791643039,drift,3,66,drift,baseline,0
13.338295035325018,9.744695531461677,12.759016029033695,0.6899117502826906,rolling_mean_17,3,66,rolling_mean_17,baseline,0
15.747271970279389,12.316441834801106,16.743945609901232,0.8719880386276183,train_mean,3,66,train_mean,baseline,0
24.97283611730932,20.00782013,25.18011331520539,1.416527603213791,seasonal_naive_24,3,66,seasonal_naive_24,baseline,0
10.457072297752912,5.528836754242424,7.643841291817176,0.3963255753772113,persistence,4,66,persistence,baseline,0
16.15940249059515,12.788856302727272,17.190869563200522,0.9167481439392521,seasonal_naive_17,4,66,seasonal_naive_17,baseline,0
19.312311340921365,14.768064591640304,21.18958502763608,1.0586244370479072,drift,4,66,drift,baseline,0
15.158850762954797,11.844574777041002,15.266240120107344,0.8490588748179464,rolling_mean_17,4,66,rolling_mean_17,baseline,0
17.63533074048202,13.908824309681227,19.499277720246262,0.9970312097070197,train_mean,4,66,train_mean,baseline,0
26.544128077363602,22.09481915560606,27.130526771833612,1.5838307955071598,seasonal_naive_24,4,66,seasonal_naive_24,baseline,0
13.639203607412181,7.4516129039393935,8.638370298114372,0.5386069115423431,persistence,5,66,persistence,baseline,0
20.761917825604847,16.976539585909087,18.745006195983837,1.2270741479618317,seasonal_naive_17,5,66,seasonal_naive_17,baseline,0
21.099616111363172,16.78828213850109,20.010890948914238,1.2134667902487568,drift,5,66,drift,baseline,0
18.327857677357105,14.692312115213902,16.48111883153792,1.0619688587967306,rolling_mean_17,5,66,rolling_mean_17,baseline,0
21.61705958496943,18.37199255686039,19.035297616856372,1.3279382997335005,train_mean,5,66,train_mean,baseline,0
32.608373562737064,27.58944281909091,28.463593662835123,1.994180961830259,seasonal_naive_24,5,66,seasonal_naive_24,baseline,0
12.666160472452693,6.801564024848484,7.731583183548746,0.4817443236015192,persistence,6,66,persistence,baseline,0
18.94385919770701,14.348973611818183,16.21754318995845,1.0163157417540278,seasonal_naive_17,6,66,seasonal_naive_17,baseline,0
18.80153138566829,15.445139299320308,17.136556410200498,1.0939554722265596,drift,6,66,drift,baseline,0
17.22896064331577,13.608763148698753,15.36181527888234,0.9638877726023031,rolling_mean_17,6,66,rolling_mean_17,baseline,0
20.756919636676372,17.709303654770288,17.94123397328843,1.2543227527452812,train_mean,6,66,train_mean,baseline,0
35.31368589774695,30.47702834515151,32.71384830946638,2.1586410643023255,seasonal_naive_24,6,66,seasonal_naive_24,baseline,0
13.139703514385852,7.003370247164179,8.877826513032309,0.4953686478868597,persistence,7,67,persistence,baseline,0
20.36246019464597,16.756860851940296,20.253296826178307,1.1852612685178403,seasonal_naive_17,7,67,seasonal_naive_17,baseline,0
