model,mae_mean,mae_std,mae_count,mape_mean,mape_std,mape_count,mase_mean,mase_std,mase_count,n_parameters_mean,n_parameters_std,n_parameters_count,n_test_mean,n_test_std,n_test_count,rmse_mean,rmse_std,rmse_count,vs_persistence,beats_persistence,operator
tcn__default,4.846110580659034,0.7716205134243365,8,6.161383700051406,0.8118577218481328,8,0.34515475311614374,0.05710560108039743,8,21978.0,0.0,8,66.125,0.3535533905932738,8,7.473690172918405,1.0509193997949422,8,0.38558939235464545,True,gp
nbeats__default,5.27998008888377,0.9346100225083172,8,6.539439879292579,0.9963589002413094,8,0.37618878663020267,0.0698375587886623,8,34635.0,0.0,8,66.125,0.3535533905932738,8,7.833404959499502,1.4320482892902378,8,0.3560173100915662,True,gp
nbeats__default_cov,5.27998008888377,0.9346100225083172,8,6.539439879292579,0.9963589002413094,8,0.37618878663020267,0.0698375587886623,8,34635.0,0.0,8,66.125,0.3535533905932738,8,7.833404959499502,1.4320482892902378,8,0.3560173100915662,True,gp
nbeats__tuned,4.731341504639599,0.5902749357660072,8,6.089619780134784,0.9406225246699644,8,0.3388190256334487,0.04219290749364279,8,29991.0,0.0,8,66.625,1.7677669529663689,8,7.883485249579959,1.418520724457024,8,0.35190021923718656,True,gp
cnn_cov__default,5.797983731232581,0.7214919736813207,8,7.0782203506216455,0.6138143572273628,8,0.41282612900989046,0.05353679767596851,8,0.0,0.0,8,66.125,0.3535533905932738,8,8.01929579101184,0.9802649333481221,8,0.340735261183644,True,gp
nbeatsx__tuned,5.6026153558730725,1.2093289875827757,8,6.842043670211213,1.1268003333263679,8,0.3991254062674809,0.08911287361752417,8,72019.0,0.0,8,66.125,0.3535533905932738,8,8.080257149821712,1.3951400953449824,8,0.33572363979679787,True,gp
tcn__tuned,4.996201768060196,0.8358484367451703,8,6.205246885584291,0.6716815493755339,8,0.35793410636601447,0.06120145609154928,8,144402.0,0.0,8,66.625,1.7677669529663689,8,8.171224027594853,1.1618990958384239,8,0.32824527056352104,True,gp
rnn_cov__tuned,5.678976392242405,0.7552734951212842,8,7.113815429614956,0.62217921103342,8,0.4067135470005723,0.05446360566952146,8,0.0,0.0,8,66.625,1.7677669529663689,8,8.241329196992286,0.8851849919336126,8,0.32248193829633165,True,gp
cnn_cov__tuned,5.85890930231324,1.1112962725598456,8,7.186793688531633,0.9676390421107586,8,0.4195490697783403,0.07960467801754631,8,0.0,0.0,8,66.625,1.7677669529663689,8,8.278792243001062,1.6569949618163102,8,0.31940210860979945,True,gp
gru_cov__tuned,5.88292084581461,0.9467746912630526,8,7.21231045792403,1.4319267938560314,8,0.4206611507961586,0.07066894701843233,8,0.0,0.0,8,64.375,1.0606601717798212,8,8.32864430696979,1.2280483173488206,8,0.3153037801794357,True,gp
lstm_cov__tuned,5.813454842762804,0.6147724946182554,8,7.160741888806259,0.4296619084812692,8,0.4163195113159375,0.04424699575354839,8,0.0,0.0,8,66.625,1.7677669529663689,8,8.370031989148023,0.7928252348264575,8,0.3119013069208699,True,gp
random_forest__default_cov,5.853918082639507,1.2214678172685955,8,7.3442377942595085,1.0108061200220775,8,0.4170593582921844,0.09018214175836156,8,0.0,0.0,8,66.125,0.3535533905932738,8,8.650911632770704,1.3590742632930157,8,0.28881024634429364,True,gp
random_forest__default,5.853918082639508,1.221467817268594,8,7.344237794259509,1.0108061200220784,8,0.41705935829218443,0.09018214175836152,8,0.0,0.0,8,66.125,0.3535533905932738,8,8.650911632770706,1.3590742632930153,8,0.2888102463442935,True,gp
ridge__tuned,6.6536558034699915,0.9372927578470982,8,8.074297155446367,0.8430466529699382,8,0.4736725198613079,0.06827024613987115,8,0.0,0.0,8,66.125,0.3535533905932738,8,8.68751844926732,1.1701833793688112,8,0.2858008071185216,True,gp
transformer__tuned,6.298205888856484,0.4246730760643536,8,7.840276925733407,0.4784339203570527,8,0.45112926895589645,0.032479936969563424,8,17521.0,0.0,8,66.625,1.7677669529663689,8,8.699140387465784,0.7386659897477651,8,0.2848453698518806,True,gp
xgboost__default,5.814787553005856,1.2744335270585538,8,7.298982939640717,1.1855270822697914,8,0.41434201123165615,0.09424928172159575,8,0.0,0.0,8,66.125,0.3535533905932738,8,8.73311103413673,1.555613227615292,8,0.2820526496319773,True,gp
