model_a,model_b,dm_stat,p_value,significant_fdr,winner
cnn_cov__default,cnn_cov__default_cov,-5.670320013820606,2.371006835311107e-08,True,cnn_cov__default
cnn_cov__default,cnn_cov__tuned,0.3886345324384541,0.6977062031309373,False,tie
cnn_cov__default,dlinear__default,-1.174621298023172,0.24068595034966944,False,tie
cnn_cov__default,dlinear__default_cov,-7.103161323494757,4.049649504622721e-12,True,cnn_cov__default
cnn_cov__default,dlinear__tuned,-0.1359936875657471,0.8918806793337577,False,tie
cnn_cov__default,drift,-17.61373845798895,0.0,True,cnn_cov__default
cnn_cov__default,gru_cov__default,-1.3774298508678542,0.16897424452440135,False,tie
cnn_cov__default,gru_cov__default_cov,-1.7364394938546266,0.08308068706838045,False,tie
cnn_cov__default,gru_cov__tuned,0.29723599774206305,0.7664090512040613,False,tie
cnn_cov__default,lstm_cov__default,0.3948380348634573,0.6931249466284011,False,tie
cnn_cov__default,lstm_cov__default_cov,-2.3852889386039395,0.017424252217931535,True,cnn_cov__default
cnn_cov__default,lstm_cov__tuned,0.44119714948121314,0.6592598561267131,False,tie
cnn_cov__default,nbeats__default,-2.5093721048023983,0.012398668127411527,True,cnn_cov__default
cnn_cov__default,nbeats__default_cov,-2.5093721048023983,0.012398668127411527,True,cnn_cov__default
cnn_cov__default,nbeats__tuned,-1.157726361708164,0.2475092533907861,False,tie
cnn_cov__default,nbeatsx__default,-3.1119664157581846,0.0019610105353602414,True,cnn_cov__default
cnn_cov__default,nbeatsx__default_cov,-3.0249878699669157,0.0026098641439569192,True,cnn_cov__default
cnn_cov__default,nbeatsx__tuned,-0.23187472464750028,0.8167268885247676,False,tie
cnn_cov__default,nlinear__default,-0.710888207976047,0.4774734723643377,False,tie
cnn_cov__default,nlinear__default_cov,-5.395813995802722,1.0395983363054029e-07,True,cnn_cov__default
cnn_cov__default,nlinear__tuned,-0.0010676486086893557,0.9991485631051948,False,tie
cnn_cov__default,persistence,-5.301322910136355,1.70481770700448e-07,True,cnn_cov__default
cnn_cov__default,random_forest__default,-0.8541588686193955,0.3934118063382652,False,tie
cnn_cov__default,random_forest__default_cov,-0.8541588686193933,0.39341180633826656,False,tie
cnn_cov__default,random_forest__tuned,1.4261996641217003,0.15442134486545767,False,tie
cnn_cov__default,ridge__default,-1.3749502745568676,0.1697412713953661,False,tie
cnn_cov__default,ridge__default_cov,-1.3749502745568676,0.1697412713953661,False,tie
cnn_cov__default,ridge__tuned,0.5783502745793129,0.5632865037270554,False,tie
cnn_cov__default,rnn_cov__default,0.25082346079395984,0.8020500613010806,False,tie
cnn_cov__default,rnn_cov__default_cov,-1.340745366242935,0.18059079664073718,False,tie
cnn_cov__default,rnn_cov__tuned,0.5961308707129167,0.5513559645816373,False,tie
cnn_cov__default,rolling_mean_15,-17.653880382441784,0.0,True,cnn_cov__default
cnn_cov__default,seasonal_naive_15,-4.1628343230312765,3.6808783069330886e-05,True,cnn_cov__default
cnn_cov__default,seasonal_naive_24,-22.749078270950903,0.0,True,cnn_cov__default
cnn_cov__default,tcn__default,0.6804941831302419,0.49649564310363314,False,tie
cnn_cov__default,tcn__default_cov,-4.998194916230734,7.929972218878589e-07,True,cnn_cov__default
cnn_cov__default,tcn__tuned,0.5044927033400639,0.6141297159558405,False,tie
cnn_cov__default,train_mean,-17.245778835584556,0.0,True,cnn_cov__default
cnn_cov__default,transformer__default,-2.2712336762170047,0.02354232417713842,True,cnn_cov__default
cnn_cov__default,transformer__default_cov,-4.23517464162982,2.7027869577311847e-05,True,cnn_cov__default
cnn_cov__default,transformer__tuned,-2.148805825049303,0.03212639866750244,False,tie
cnn_cov__default,xgboost__default,-1.0623132588773625,0.28858850069424746,False,tie
cnn_cov__default,xgboost__default_cov,-1.0623132588773625,0.28858850069424746,False,tie
cnn_cov__default,xgboost__tuned,1.034387777727754,0.3014441857858303,False,tie
cnn_cov__default_cov,cnn_cov__tuned,5.7287327003224116,1.7176245314942662e-08,True,cnn_cov__tuned
cnn_cov__default_cov,dlinear__default,4.8869187230535855,1.3678450396792385e-06,True,dlinear__default
cnn_cov__default_cov,dlinear__default_cov,1.656773364276913,0.09817083511949654,False,tie
cnn_cov__default_cov,dlinear__tuned,5.329595649571094,1.488534011606646e-07,True,dlinear__tuned
cnn_cov__default_cov,drift,-16.403252762876008,0.0,True,cnn_cov__default_cov
cnn_cov__default_cov,gru_cov__default,4.951031335492398,1.00039226613724e-06,True,gru_cov__default
cnn_cov__default_cov,gru_cov__default_cov,5.96681831389013,4.487954896603696e-09,True,gru_cov__default_cov
cnn_cov__default_cov,gru_cov__tuned,5.707135838318862,1.9647760085561572e-08,True,gru_cov__tuned
cnn_cov__default_cov,lstm_cov__default,5.578977826508875,3.903691014883748e-08,True,lstm_cov__default
cnn_cov__default_cov,lstm_cov__default_cov,4.9291198819895685,1.1137106670222607e-06,True,lstm_cov__default_cov
cnn_cov__default_cov,lstm_cov__tuned,5.806696772956737,1.1301301228172633e-08,True,lstm_cov__tuned
cnn_cov__default_cov,nbeats__default,3.100207754983625,0.0020390626539221746,True,nbeats__default
