model,mae_mean,mae_std,mae_count,mape_mean,mape_std,mape_count,mase_mean,mase_std,mase_count,n_parameters_mean,n_parameters_std,n_parameters_count,n_test_mean,n_test_std,n_test_count,rmse_mean,rmse_std,rmse_count,vs_persistence,beats_persistence,operator
random_forest__tuned,13.429934913198679,2.441185870291214,8,13.027808715280875,3.080675143788318,8,0.7954340984033375,0.1488271517780188,8,0.0,0.0,8,64.0,0.0,8,19.46711180218049,4.1023116269076185,8,0.34814647545982474,True,robi
xgboost__tuned,13.706379892230034,2.139426128317137,8,12.90945568908515,2.535759789852849,8,0.812537468805088,0.13706983669501688,8,0.0,0.0,8,64.0,0.0,8,19.699972837137913,3.6411484624712203,8,0.3403491561703723,True,robi
tcn__default,14.020990624512335,2.4389914768483605,8,13.308803183784445,3.56971721064999,8,0.8324539385163443,0.15272072936715234,8,21974.0,0.0,8,64.875,2.4748737341529163,8,19.87914266136664,3.8237888060822645,8,0.3343496795864007,True,robi
lstm_cov__default,14.298830416105243,2.5086967455292,8,13.928677970201647,3.4609275825553363,8,0.8488041473296303,0.15661803293386406,8,0.0,0.0,8,64.875,2.4748737341529163,8,19.941816812756137,4.219688932156691,8,0.3322510443653181,True,robi
tcn__tuned,14.555157925820023,2.208141147893824,8,13.49536668580022,2.160894758966212,8,0.876303880411147,0.1456684208499268,8,2758.0,0.0,8,65.5,1.4142135623730951,8,19.959082783091436,3.566558980387632,8,0.3316728957559076,True,robi
ridge__tuned,14.083504481852474,2.483333076919232,8,12.867697829616008,2.115142052144035,8,0.8427106794904256,0.1522641196712092,8,0.0,0.0,8,63.0,0.0,8,20.00033254270587,3.4888063013328203,8,0.330291653306368,True,robi
cnn_cov__tuned,14.640075394804683,2.28470223425829,8,13.557188007908005,2.3108305527471793,8,0.8805525952862238,0.14504648197647238,8,0.0,0.0,8,65.5,1.4142135623730951,8,20.07236950002312,3.3657168850387706,8,0.3278795058341816,True,robi
rnn_cov__default,14.413767521750671,1.904703828948021,8,13.72870591751085,2.3145484987085934,8,0.8560902169211569,0.12807616002396996,8,0.0,0.0,8,64.875,2.4748737341529163,8,20.083441729351616,3.7838380409181243,8,0.3275087537788362,True,robi
lstm_cov__tuned,14.5947498689427,2.3488380053352547,8,13.648182062668718,2.4805720522143693,8,0.8728863146058702,0.1423694341564239,8,0.0,0.0,8,63.0,0.0,8,20.213337432795367,2.937999291646242,8,0.32315921425942223,True,robi
rnn_cov__tuned,14.599470918307187,1.6043318453561097,8,13.925517994768077,1.5607664005856359,8,0.8735787373625272,0.10327556998692532,8,0.0,0.0,8,63.0,0.0,8,20.2557981009815,2.0826026317396384,8,0.32173742470518735,True,robi
nlinear__tuned,14.270542365986605,2.647982096566482,8,12.853314494765819,2.1676743496044577,8,0.853089444681794,0.15790054955121763,8,66.0,0.0,8,63.0,0.0,8,20.29364113038893,3.9128793600790748,8,0.3204702561416541,True,robi
gru_cov__tuned,14.883280781033275,2.317687776902369,8,13.788104084691758,2.4749686353587963,8,0.8906093334240259,0.14338362538605634,8,0.0,0.0,8,63.0,0.0,8,20.298524775828344,2.850316508959529,8,0.32030672795500603,True,robi
cnn_cov__default,14.604202966070474,1.6436894385717549,8,13.946988339059152,3.2988954967876896,8,0.8657858178555227,0.1008075114127593,8,0.0,0.0,8,64.875,2.4748737341529163,8,20.300224722942378,3.3371268078803986,8,0.32024980546290366,True,robi
nbeatsx__tuned,13.86123211269158,2.1795342379873444,8,12.462099115412743,2.4129549407129662,8,0.8341725072901047,0.14115125774807127,8,46386.0,0.0,8,65.5,1.4142135623730951,8,20.33371467994326,4.1593289333452,8,0.3191283989219869,True,robi
dlinear__tuned,14.26072157677467,2.858912756798478,8,12.915731575127671,2.174913626104159,8,0.8528658499365632,0.17240698060668683,8,114.0,0.0,8,63.0,0.0,8,20.362757378416344,4.112134204956668,8,0.31815590821282497,True,robi
