operator,horizon_hours,tau,method,group,covered,n,folds,coverage,gap,ci_lo,ci_hi,passes,decisive
gp,1.5,0.8,aci,ALL,428,533,8,0.8030018761726079,0.0030018761726078314,0.7666557488163094,0.8359472146827688,True,False
gp,1.5,0.8,aci,baseline,292,354,8,0.8248587570621468,0.024858757062146797,0.7811785584178499,0.8630036969310967,False,False
gp,1.5,0.8,aci,elevated_risk,136,179,6,0.7597765363128491,-0.04022346368715091,0.6903752487760282,0.8203656054062601,False,False
gp,1.5,0.8,adaptive,ALL,418,533,8,0.7842401500938087,-0.015759849906191392,0.746851214015951,0.8184424949315773,True,False
gp,1.5,0.8,adaptive,baseline,288,354,8,0.8135593220338984,0.013559322033898313,0.7690097605196238,0.8527716910176504,True,False
gp,1.5,0.8,adaptive,elevated_risk,130,179,6,0.7262569832402235,-0.07374301675977657,0.6547401015168606,0.7901155470026295,False,True
gp,1.5,0.8,marginal,ALL,418,533,8,0.7842401500938087,-0.015759849906191392,0.746851214015951,0.8184424949315773,True,False
gp,1.5,0.8,marginal,baseline,294,354,8,0.8305084745762712,0.03050847457627115,0.7872849503697146,0.8680973106473258,False,False
gp,1.5,0.8,marginal,elevated_risk,124,179,6,0.6927374301675978,-0.10726256983240223,0.6195587687669619,0.7594033930358052,False,True
gp,1.5,0.8,mondrian,ALL,414,533,8,0.776735459662289,-0.02326454033771108,0.7389597229320688,0.8114099987991658,False,False
gp,1.5,0.8,mondrian,baseline,283,354,8,0.7994350282485876,-0.0005649717514124575,0.7538760685524224,0.8399030857184585,True,False
gp,1.5,0.8,mondrian,elevated_risk,131,179,6,0.7318435754189944,-0.06815642458100568,0.6606463881490248,0.79519077898854,False,True
gp,1.5,0.9,aci,ALL,482,533,8,0.9043151969981238,0.0043151969981237714,0.876112888369998,0.9279252749983556,True,False
gp,1.5,0.9,aci,baseline,319,354,8,0.9011299435028248,0.001129943502824804,0.8651820960286859,0.9301632575992156,True,False
gp,1.5,0.9,aci,elevated_risk,163,179,6,0.9106145251396648,0.010614525139664766,0.8589024039442771,0.9480429199273211,True,False
gp,1.5,0.9,adaptive,ALL,460,533,8,0.8630393996247655,-0.03696060037523452,0.8308973888359619,0.8910849508514065,False,True
gp,1.5,0.9,adaptive,baseline,314,354,8,0.8870056497175142,-0.012994350282485856,0.8493232625429167,0.9180373152814434,True,False
gp,1.5,0.9,adaptive,elevated_risk,146,179,6,0.8156424581005587,-0.08435754189944134,0.7509528811304463,0.8695679559101371,False,True
gp,1.5,0.9,marginal,ALL,462,533,8,0.8667917448405253,-0.033208255159474676,0.8349656439962019,0.8944771348705962,False,True
gp,1.5,0.9,marginal,baseline,324,354,8,0.9152542372881356,0.015254237288135575,0.8812306331269142,0.9420925907159956,True,False
gp,1.5,0.9,marginal,elevated_risk,138,179,6,0.770949720670391,-0.129050279329609,0.7023643475511262,0.830335850307562,False,True
gp,1.5,0.9,mondrian,ALL,455,533,8,0.8536585365853658,-0.04634146341463419,0.8207578669951467,0.8825728654480791,False,True
gp,1.5,0.9,mondrian,baseline,314,354,8,0.8870056497175142,-0.012994350282485856,0.8493232625429167,0.9180373152814434,True,False
gp,1.5,0.9,mondrian,elevated_risk,141,179,6,0.7877094972067039,-0.11229050279329611,0.7204610857717049,0.8451753358906873,False,True
gp,1.5,0.95,aci,ALL,505,533,8,0.9474671669793621,-0.0025328330206378924,0.9249677170554949,0.9648120866570007,True,False
gp,1.5,0.95,aci,baseline,336,354,8,0.9491525423728814,-0.0008474576271185752,0.920827587591557,0.9695897296602423,True,False
gp,1.5,0.95,aci,elevated_risk,169,179,6,0.9441340782122905,-0.005865921787709505,0.8996621849475592,0.9728882200345955,True,False
gp,1.5,0.95,adaptive,ALL,490,533,8,0.9193245778611632,-0.030675422138836783,0.8928676723276586,0.9410016209108663,False,True
gp,1.5,0.95,adaptive,baseline,329,354,8,0.9293785310734464,-0.020621468926553588,0.8975119046756747,0.9537791263423291,False,False
