model_a,model_b,dm_stat,p_value,significant_fdr,winner
cnn,cnn_cov,-7.616489588359624,1.212363542890671e-13,True,cnn
cnn,drift,-16.840697434260324,0.0,True,cnn
cnn,gru,-2.6892157897899276,0.007388477423199813,True,cnn
cnn,gru_cov,-7.128228342370732,3.3582026048861735e-12,True,cnn
cnn,lstm,-3.5893371831869754,0.0003624143732681162,True,cnn
cnn,lstm_cov,-7.53118392640219,2.1938006966593093e-13,True,cnn
cnn,persistence,-7.00508050704457,7.55107087968554e-12,True,cnn
cnn,random_forest,-3.9165462378307665,0.00010161481960757612,True,cnn
cnn,ridge,-8.084809185047588,4.218847493575595e-15,True,cnn
cnn,rnn,-3.3242502906388016,0.0009481100585417845,True,cnn
cnn,rnn_cov,-5.215080822012859,2.642515486428465e-07,True,cnn
cnn,rolling_mean_17,-14.80107740580189,0.0,True,cnn
cnn,seasonal_naive_17,-15.845266812099217,0.0,True,cnn
cnn,train_mean,-15.871249697869878,0.0,True,cnn
cnn,xgboost,-3.346991309078976,0.0008751387572814018,True,cnn
cnn_cov,drift,-9.07568286705587,0.0,True,cnn_cov
cnn_cov,gru,7.064129223859053,5.127231972323898e-12,True,gru
cnn_cov,gru_cov,5.483778359472725,6.463890822594465e-08,True,gru_cov
cnn_cov,lstm,6.919319304500437,1.3189227487941935e-11,True,lstm
cnn_cov,lstm_cov,4.073613139376366,5.339852911290244e-05,True,lstm_cov
cnn_cov,persistence,3.4261169669849205,0.0006599684769104108,True,persistence
cnn_cov,random_forest,6.8139967434417255,2.5966562233747936e-11,True,random_forest
cnn_cov,ridge,1.109884216279042,0.26755414031591496,False,tie
cnn_cov,rnn,7.063762505262444,5.139444425594775e-12,True,rnn
cnn_cov,rnn_cov,6.103009634864689,2.016381950298296e-09,True,rnn_cov
cnn_cov,rolling_mean_17,-1.016419283680468,0.3098952830089048,False,tie
cnn_cov,seasonal_naive_17,-3.839263263305996,0.0001383691136447318,True,cnn_cov
cnn_cov,train_mean,-3.6715836557650916,0.0002655845346621888,True,cnn_cov
cnn_cov,xgboost,6.947858321822149,1.096167601133402e-11,True,xgboost
drift,gru,16.648693978082925,0.0,True,gru
drift,gru_cov,15.125339896804373,0.0,True,gru_cov
drift,lstm,16.482759586626322,0.0,True,lstm
drift,lstm_cov,14.055285478353515,0.0,True,lstm_cov
drift,persistence,13.971795855860195,0.0,True,persistence
drift,random_forest,16.3725016884604,0.0,True,random_forest
drift,ridge,10.190937233427583,0.0,True,ridge
drift,rnn,16.598118664071517,0.0,True,rnn
drift,rnn_cov,15.625046795335308,0.0,True,rnn_cov
drift,rolling_mean_17,11.932668396372296,0.0,True,rolling_mean_17
drift,seasonal_naive_17,8.169856709397369,2.220446049250313e-15,True,seasonal_naive_17
