operator,model,horizon_hours,steps,lead_hours,fold,n,rmse,mae
gp,chronos-bolt-small,1.5,1,1.43,0,66,11.537309203737381,8.254144941512486
gp,chronos-bolt-small,1.5,1,1.43,1,66,11.740734441510547,8.052230983585169
gp,chronos-bolt-small,1.5,1,1.43,2,66,12.035250164137475,7.804226760579574
gp,chronos-bolt-small,1.5,1,1.43,3,66,9.027199350103857,6.407038773842478
gp,chronos-bolt-small,1.5,1,1.43,4,66,9.356981258660362,5.955054003050574
gp,chronos-bolt-small,1.5,1,1.43,5,66,12.58890821160638,8.927330677416105
gp,chronos-bolt-small,1.5,1,1.43,6,66,11.53814411625213,7.693242807281311
gp,chronos-bolt-small,1.5,1,1.43,7,71,11.611244340124486,7.498844458957281
gp,chronos-bolt-small,3.0,2,2.87,0,66,14.64236657639454,11.27909042123313
gp,chronos-bolt-small,3.0,2,2.87,1,66,13.914781194306684,10.692949495103575
gp,chronos-bolt-small,3.0,2,2.87,2,66,14.733900873932475,10.537616076909623
gp,chronos-bolt-small,3.0,2,2.87,3,66,10.692423474390509,8.137949249014266
gp,chronos-bolt-small,3.0,2,2.87,4,66,11.309295388509383,7.8770378075219
gp,chronos-bolt-small,3.0,2,2.87,5,66,15.031976402404204,12.338784782675782
gp,chronos-bolt-small,3.0,2,2.87,6,66,13.97544845524673,10.376359254099194
gp,chronos-bolt-small,3.0,2,2.87,7,71,13.978292749691658,10.229110784528777
gp,chronos-bolt-small,6.0,4,5.73,0,66,15.07231236020038,12.159956817948625
gp,chronos-bolt-small,6.0,4,5.73,1,66,13.75912051986804,10.507035973594636
gp,chronos-bolt-small,6.0,4,5.73,2,66,14.412733937132582,10.483144200858487
gp,chronos-bolt-small,6.0,4,5.73,3,66,10.086117686259318,7.744163839824515
gp,chronos-bolt-small,6.0,4,5.73,4,66,11.268157006263076,8.579118769770655
gp,chronos-bolt-small,6.0,4,5.73,5,66,15.392211438287301,13.495129662721945
gp,chronos-bolt-small,6.0,4,5.73,6,66,13.595443179665795,9.66208689390507
gp,chronos-bolt-small,6.0,4,5.73,7,69,14.387529143227981,11.2856600700167
gp,chronos-bolt-small,12.0,8,11.47,0,66,15.128547162596,11.780550770339723
gp,chronos-bolt-small,12.0,8,11.47,1,66,15.020634213404199,11.23154328972449
gp,chronos-bolt-small,12.0,8,11.47,2,66,16.111263412702353,11.349581281017695
gp,chronos-bolt-small,12.0,8,11.47,3,66,11.646348233753981,8.890392388914831
gp,chronos-bolt-small,12.0,8,11.47,4,66,12.26870178449448,9.36461103643762
gp,chronos-bolt-small,12.0,8,11.47,5,66,14.801598044201324,12.624264899170955
gp,chronos-bolt-small,12.0,8,11.47,6,66,14.751365925707137,10.536435493934068
gp,chronos-bolt-small,12.0,8,11.47,7,67,15.550293678917614,12.012684626780844
gp,chronos-bolt-small,24.0,17,24.37,0,65,15.883063296094939,12.420028775901441
gp,chronos-bolt-small,24.0,17,24.37,1,65,17.12227940701851,13.105522100996696
gp,chronos-bolt-small,24.0,17,24.37,2,65,15.368590816396384,12.564573434221753
gp,chronos-bolt-small,24.0,17,24.37,3,65,10.599263311416566,8.276990039916766
gp,chronos-bolt-small,24.0,17,24.37,4,65,12.803270543492067,9.862167374089243
gp,chronos-bolt-small,24.0,17,24.37,5,65,19.666725679291005,17.091972058328125
gp,chronos-bolt-small,24.0,17,24.37,6,65,15.370004335550354,11.576673386738284
gp,chronos-bolt-small,24.0,17,24.37,7,69,14.764477588590472,12.261435976788666
robi,chronos-bolt-small,1.5,1,1.65,0,65,25.949881014103628,18.993335374098564
robi,chronos-bolt-small,1.5,1,1.65,1,65,37.88723815380723,26.096189185509317
robi,chronos-bolt-small,1.5,1,1.65,2,65,29.17148760232468,21.631697669396033
robi,chronos-bolt-small,1.5,1,1.65,3,65,27.194061548226987,21.33034790039062
robi,chronos-bolt-small,1.5,1,1.65,4,65,30.880003093639843,23.110751253568207
robi,chronos-bolt-small,1.5,1,1.65,5,65,30.975726004557817,15.924985882098857
robi,chronos-bolt-small,1.5,1,1.65,6,65,31.995116805129314,19.789780141977165
