operator,model,horizon_hours,lead_hours,fold,tau,method,n,coverage,mean_allocation_ratio,natively_expressible
gp,chronos-bolt-small,1.5,1.43,0,0.8,zero_shot,66,0.9242424242424242,1.1116792622780243,True
gp,chronos-bolt-small,1.5,1.43,0,0.8,conformal,66,0.9090909090909091,1.1035899943753156,True
gp,chronos-bolt-small,1.5,1.43,0,0.9,zero_shot,66,0.9242424242424242,1.1582510355915787,True
gp,chronos-bolt-small,1.5,1.43,0,0.9,conformal,66,0.9242424242424242,1.1628371393083885,True
gp,chronos-bolt-small,1.5,1.43,0,0.95,zero_shot,66,0.9242424242424242,1.1582510355915787,False
gp,chronos-bolt-small,1.5,1.43,0,0.95,conformal,66,0.9696969696969697,1.2478632389041857,False
gp,chronos-bolt-small,1.5,1.43,1,0.8,zero_shot,66,0.8484848484848485,1.101070449095571,True
gp,chronos-bolt-small,1.5,1.43,1,0.8,conformal,66,0.803030303030303,1.0906484570070127,True
gp,chronos-bolt-small,1.5,1.43,1,0.9,zero_shot,66,0.8787878787878788,1.1478163411396296,True
gp,chronos-bolt-small,1.5,1.43,1,0.9,conformal,66,0.9090909090909091,1.1524183760434672,True
gp,chronos-bolt-small,1.5,1.43,1,0.95,zero_shot,66,0.8787878787878788,1.1478163411396296,False
gp,chronos-bolt-small,1.5,1.43,1,0.95,conformal,66,0.9848484848484849,1.2377398389320549,False
gp,chronos-bolt-small,1.5,1.43,2,0.8,zero_shot,66,0.8484848484848485,1.096617611727545,True
gp,chronos-bolt-small,1.5,1.43,2,0.8,conformal,66,0.7575757575757576,1.0654519165900322,True
gp,chronos-bolt-small,1.5,1.43,2,0.9,zero_shot,66,0.8939393939393939,1.1452682043255231,True
gp,chronos-bolt-small,1.5,1.43,2,0.9,conformal,66,0.8939393939393939,1.1488792311455205,True
gp,chronos-bolt-small,1.5,1.43,2,0.95,zero_shot,66,0.8939393939393939,1.1452682043255231,False
gp,chronos-bolt-small,1.5,1.43,2,0.95,conformal,66,0.9545454545454546,1.2068917374710573,False
gp,chronos-bolt-small,1.5,1.43,3,0.8,zero_shot,66,0.8636363636363636,1.1093758652457857,True
gp,chronos-bolt-small,1.5,1.43,3,0.8,conformal,66,0.8636363636363636,1.0835560754396303,True
gp,chronos-bolt-small,1.5,1.43,3,0.9,zero_shot,66,0.9242424242424242,1.156368905153926,True
gp,chronos-bolt-small,1.5,1.43,3,0.9,conformal,66,0.9545454545454546,1.1633384629603531,True
gp,chronos-bolt-small,1.5,1.43,3,0.95,zero_shot,66,0.9242424242424242,1.156368905153926,False
gp,chronos-bolt-small,1.5,1.43,3,0.95,conformal,66,0.9848484848484849,1.2212974981288474,False
gp,chronos-bolt-small,1.5,1.43,4,0.8,zero_shot,66,0.8636363636363636,1.0850090281572389,True
gp,chronos-bolt-small,1.5,1.43,4,0.8,conformal,66,0.7424242424242424,1.0487063083817076,True
gp,chronos-bolt-small,1.5,1.43,4,0.9,zero_shot,66,0.9090909090909091,1.1298469568055343,True
gp,chronos-bolt-small,1.5,1.43,4,0.9,conformal,66,0.9090909090909091,1.131659612920896,True
gp,chronos-bolt-small,1.5,1.43,4,0.95,zero_shot,66,0.9090909090909091,1.1298469568055343,False
gp,chronos-bolt-small,1.5,1.43,4,0.95,conformal,66,0.9545454545454546,1.1707262093122177,False
gp,chronos-bolt-small,1.5,1.43,5,0.8,zero_shot,66,0.696969696969697,1.0574701765447934,True
gp,chronos-bolt-small,1.5,1.43,5,0.8,conformal,66,0.5909090909090908,1.0323033699344029,True
gp,chronos-bolt-small,1.5,1.43,5,0.9,zero_shot,66,0.8484848484848485,1.1002395985532814,True
gp,chronos-bolt-small,1.5,1.43,5,0.9,conformal,66,0.8484848484848485,1.0968048642668002,True
gp,chronos-bolt-small,1.5,1.43,5,0.95,zero_shot,66,0.8484848484848485,1.1002395985532814,False
gp,chronos-bolt-small,1.5,1.43,5,0.95,conformal,66,0.8636363636363636,1.1333648321152345,False
gp,chronos-bolt-small,1.5,1.43,6,0.8,zero_shot,66,0.8636363636363636,1.1025563227634898,True
gp,chronos-bolt-small,1.5,1.43,6,0.8,conformal,66,0.8636363636363636,1.0977998324781715,True
gp,chronos-bolt-small,1.5,1.43,6,0.9,zero_shot,66,0.8939393939393939,1.1516758617810727,True
gp,chronos-bolt-small,1.5,1.43,6,0.9,conformal,66,0.9090909090909091,1.1576769570100371,True
gp,chronos-bolt-small,1.5,1.43,6,0.95,zero_shot,66,0.8939393939393939,1.1516758617810727,False
gp,chronos-bolt-small,1.5,1.43,6,0.95,conformal,66,0.9545454545454546,1.2047935844171143,False
gp,chronos-bolt-small,1.5,1.43,7,0.8,zero_shot,71,0.8591549295774648,1.0999984061202044,True
gp,chronos-bolt-small,1.5,1.43,7,0.8,conformal,71,0.8450704225352113,1.085549121922125,True
gp,chronos-bolt-small,1.5,1.43,7,0.9,zero_shot,71,0.9014084507042254,1.1467142244008168,True
gp,chronos-bolt-small,1.5,1.43,7,0.9,conformal,71,0.9154929577464789,1.1535100759694368,True
gp,chronos-bolt-small,1.5,1.43,7,0.95,zero_shot,71,0.9014084507042254,1.1467142244008168,False
gp,chronos-bolt-small,1.5,1.43,7,0.95,conformal,71,0.9577464788732395,1.2022250389696942,False
