horizon_hours,steps,lead_hours,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error,operator
1.5,1,1.43,0,0.8,marginal,ALL,66,0.7878787878787878,0.6697885403521797,0.878898067744857,-0.0121212121212122,0.21212121212121213,1.0753438761845997,0.13498204330750133,19.398478259268316,,gp
1.5,1,1.43,0,0.8,marginal,baseline,66,0.7878787878787878,0.6697885403521797,0.878898067744857,-0.0121212121212122,0.21212121212121213,1.0753438761845997,0.13498204330750133,19.398478259268316,,gp
1.5,1,1.43,0,0.8,adaptive,ALL,66,0.7272727272727273,0.6036427957562944,0.8296733838204806,-0.07272727272727275,0.2727272727272727,1.0795007801396759,0.1668438124859908,22.610964406820525,,gp
1.5,1,1.43,0,0.8,adaptive,baseline,66,0.7272727272727273,0.6036427957562944,0.8296733838204806,-0.07272727272727275,0.2727272727272727,1.0795007801396759,0.1668438124859908,22.610964406820525,,gp
1.5,1,1.43,0,0.8,mondrian,ALL,66,0.7878787878787878,0.6697885403521797,0.878898067744857,-0.0121212121212122,0.21212121212121213,1.0753438761845997,0.13498204330750133,19.398478259268316,,gp
1.5,1,1.43,0,0.8,mondrian,baseline,66,0.7878787878787878,0.6697885403521797,0.878898067744857,-0.0121212121212122,0.21212121212121213,1.0753438761845997,0.13498204330750133,19.398478259268316,,gp
1.5,1,1.43,0,0.9,marginal,ALL,66,0.8939393939393939,0.793606517867613,0.9562815509014071,-0.0060606060606061,0.10606060606060606,1.1069734919099465,0.15165331441587498,17.955421695235113,,gp
1.5,1,1.43,0,0.9,marginal,baseline,66,0.8939393939393939,0.793606517867613,0.9562815509014071,-0.0060606060606061,0.10606060606060606,1.1069734919099465,0.15165331441587498,17.955421695235113,,gp
1.5,1,1.43,0,0.9,adaptive,ALL,66,0.8636363636363636,0.7568586684861609,0.9357018153567446,-0.036363636363636376,0.13636363636363635,1.1425409737991963,0.21689608085398498,19.823194021919917,,gp
1.5,1,1.43,0,0.9,adaptive,baseline,66,0.8636363636363636,0.7568586684861609,0.9357018153567446,-0.036363636363636376,0.13636363636363635,1.1425409737991963,0.21689608085398498,19.823194021919917,,gp
1.5,1,1.43,0,0.9,mondrian,ALL,66,0.8939393939393939,0.793606517867613,0.9562815509014071,-0.0060606060606061,0.10606060606060606,1.1069734919099465,0.15165331441587498,17.955421695235113,,gp
1.5,1,1.43,0,0.9,mondrian,baseline,66,0.8939393939393939,0.793606517867613,0.9562815509014071,-0.0060606060606061,0.10606060606060606,1.1069734919099465,0.15165331441587498,17.955421695235113,,gp
1.5,1,1.43,0,0.95,marginal,ALL,66,0.9545454545454546,0.8728574940886829,0.9905262614362937,0.00454545454545463,0.045454545454545456,1.198343256072309,0.23615367918056193,20.19658456155022,,gp
1.5,1,1.43,0,0.95,marginal,baseline,66,0.9545454545454546,0.8728574940886829,0.9905262614362937,0.00454545454545463,0.045454545454545456,1.198343256072309,0.23615367918056193,20.19658456155022,,gp
1.5,1,1.43,0,0.95,adaptive,ALL,66,0.8787878787878788,0.7750598442768424,0.9461891381581342,-0.07121212121212117,0.12121212121212122,1.1674552630077402,0.24440315021236944,20.308913704669873,,gp
1.5,1,1.43,0,0.95,adaptive,baseline,66,0.8787878787878788,0.7750598442768424,0.9461891381581342,-0.07121212121212117,0.12121212121212122,1.1674552630077402,0.24440315021236944,20.308913704669873,,gp
