horizon_hours,steps,lead_hours,model,rmse_mean,rmse_std,mae_mean,mase_mean,folds,operator
1.5,1,1.65,random_forest,20.767229960531218,4.390150762510827,14.767328099543917,0.8885629713253778,8,robi
1.5,1,1.65,xgboost,21.111671867858764,4.2058821291498845,15.216590176738626,0.9156767883860032,8,robi
1.5,1,1.65,ridge,22.715865983288047,3.7929222273250054,17.101581035239484,1.029405379791633,8,robi
1.5,1,1.65,seasonal_naive_15,26.26253819851616,6.869094729850964,17.22309364548495,1.037202412972408,8,robi
1.5,1,1.65,persistence_h,29.750968923813605,4.719764846659333,17.15026309921962,1.031695009309577,8,robi
3.0,2,3.3,xgboost,24.044322445861226,5.288849884674158,17.76063528478531,1.0674451498578432,8,robi
3.0,2,3.3,random_forest,25.226500184562198,5.718241706940854,18.662282822865304,1.1220085593661129,8,robi
3.0,2,3.3,seasonal_naive_15,26.26253819851616,6.869094729850964,17.22309364548495,1.0353791881496515,8,robi
3.0,2,3.3,ridge,28.14421750139419,5.517542952500097,22.23910879265678,1.337102294990457,8,robi
3.0,2,3.3,persistence_h,45.07068793749708,7.443066421269869,32.762966555183944,1.9673760249953847,8,robi
6.0,4,6.6,seasonal_naive_15,26.271868365826922,7.059990634621156,17.250614236509758,1.0345190483015876,8,robi
6.0,4,6.6,xgboost,27.22815598891727,6.975317192789718,19.88035697044872,1.19028731457005,8,robi
6.0,4,6.6,random_forest,27.266867486329318,6.269969535689748,20.123527268188706,1.204955916978927,8,robi
6.0,4,6.6,ridge,30.91078674829086,6.1760796160809805,23.994176839773196,1.4383188708563772,8,robi
6.0,4,6.6,persistence_h,65.96610919687765,8.234440484161787,56.93570952927669,3.410227201548034,8,robi
12.0,7,11.55,seasonal_naive_15,26.23940223602156,7.137994221821116,17.222076923076923,1.028689033174933,8,robi
12.0,7,11.55,xgboost,27.739978599944646,5.673622645438195,20.391017550764108,1.2159118568013185,8,robi
12.0,7,11.55,random_forest,28.005998010427543,5.676587270565881,20.63725576237733,1.2299255310813206,8,robi
12.0,7,11.55,ridge,30.325618536439862,5.985250623939718,23.642290427806024,1.4125177362258867,8,robi
12.0,7,11.55,persistence_h,75.95466484375169,8.083877737874293,69.13735897435897,4.12594358176595,8,robi
24.0,15,24.75,random_forest,22.686160630044945,5.484185428599876,15.9834804559122,0.9508914302134415,8,robi
24.0,15,24.75,ridge,23.296696235664143,5.767158074811922,17.639622488123976,1.0476552919853088,8,robi
24.0,15,24.75,xgboost,24.251733039956157,5.129597322072012,17.79616916293607,1.0586716945215757,8,robi
24.0,15,24.75,persistence_h,26.48726216177345,6.164896692717671,17.218589154411767,1.0250992561379348,8,robi
24.0,15,24.75,seasonal_naive_15,26.48726216177345,6.164896692717671,17.218589154411767,1.0250992561379348,8,robi
