operator,family,setting,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost_kappa10,folds
robi,conformal_adaptive,0.5,0.4777870680044593,0.9826558314728342,0.1996499971505416,123.64622434865714,8
robi,conformal_adaptive,0.6,0.3884057971014493,1.0205069020577553,0.21481937451016409,99.99643316939924,8
robi,conformal_adaptive,0.7,0.30841694537346714,1.06571273526015,0.24347884365620515,76.81681421538009,8
robi,conformal_adaptive,0.8,0.2383779264214047,1.1199635336512839,0.2847129767269987,57.832418503903526,8
robi,conformal_adaptive,0.85,0.18294314381270904,1.1607782250904521,0.31490013888301177,52.077250296613926,8
robi,conformal_adaptive,0.9,0.15058528428093645,1.2103271095930155,0.363941972290299,49.33758820409803,8
robi,conformal_adaptive,0.95,0.08202341137123746,1.3283479642074107,0.47741668197210146,54.479587253001924,8
robi,conformal_marginal,0.5,0.46059085841694536,0.9939237954514579,0.21025056490456834,114.44605962794547,8
robi,conformal_marginal,0.6,0.39428651059085845,1.0183034356118172,0.21582353416209166,101.73288569414018,8
robi,conformal_marginal,0.7,0.3198439241917503,1.0571412758536327,0.23877031009570657,85.6406663906561,8
robi,conformal_marginal,0.8,0.2363433667781494,1.1061601298204535,0.27078232497224697,71.5174669167509,8
robi,conformal_marginal,0.85,0.20025083612040134,1.1426194774136578,0.3027827052587225,64.3339062051167,8
robi,conformal_marginal,0.9,0.14470457079152732,1.1922283458828462,0.34126556771668115,59.090463426196585,8
robi,conformal_marginal,0.95,0.0951505016722408,1.2978462662317152,0.44328149367737124,55.34346329270345,8
robi,conformal_mondrian,0.5,0.46817168338907467,0.9923044918362225,0.21108507749240668,115.74837155551123,8
robi,conformal_mondrian,0.6,0.39983277591973243,1.0183331436992442,0.21811868836685297,102.39827710389613,8
robi,conformal_mondrian,0.7,0.32357859531772576,1.055843279778791,0.2386205061476701,86.4546286325529,8
robi,conformal_mondrian,0.8,0.24595875139353401,1.1047660704859514,0.27269999026153935,72.28893917582161,8
robi,conformal_mondrian,0.85,0.19651616499442587,1.14291196908438,0.30144836246776263,64.3805811335586,8
robi,conformal_mondrian,0.9,0.1408584169453735,1.1897959403579137,0.3366010375530202,59.204553787631205,8
robi,conformal_mondrian,0.95,0.0987736900780379,1.2903459728844726,0.43684216383428165,55.34001688084767,8
robi,fixed_margin,0.0,0.4069676700111483,1.018294565928323,0.22087305073773456,101.23568545613878,8
robi,fixed_margin,0.05,0.28545150501672245,1.069209294224739,0.23605304249628867,80.36419572503803,8
robi,fixed_margin,0.1,0.2053511705685619,1.1201240225211555,0.26742001660586273,68.34887391856945,8
robi,fixed_margin,0.15,0.15590858416945375,1.1710387508175715,0.30735086070973994,61.6347319113371,8
robi,fixed_margin,0.2,0.1237736900780379,1.2219534791139877,0.35183401958666755,58.13127616851705,8
robi,fixed_margin,0.3,0.08168896321070235,1.3237829357068198,0.4455776973570575,57.92808756970137,8
robi,fixed_margin,0.4,0.041638795986622075,1.425612392299652,0.5353819117020413,64.48292321927889,8
robi,fixed_margin,0.5,0.013127090301003345,1.5274418488924846,0.6275153928818673,75.36915606805552,8
robi,quantile,0.5,0.41081382385730214,1.041215343445923,0.24796489409011968,77.03865252308755,8
robi,quantile,0.7,0.32527870680044596,1.0782414648066803,0.26227123793532936,60.02814880416173,8
robi,quantile,0.8,0.27572463768115946,1.1023235785396492,0.27431854179853854,52.269154510659654,8
robi,quantile,0.9,0.23567447045707918,1.1261688056421713,0.288984092911203,46.71953645373188,8
robi,quantile,0.95,0.18600891861761426,1.1739002170993766,0.3441100864998359,43.711449707839265,8
robi,quantile,0.98,0.05284280936454849,1.3268856464942034,0.4966061596780837,49.46781454574942,8
robi,static_peak,0.95,0.060535117056856186,1.4724309682949444,0.7174003093991598,71.32552062430324,8
robi,static_peak,0.99,0.0,1.5856484712321937,0.8041392124520002,80.42458082497214,8
robi,static_peak,1.0,0.0,1.5856484712321937,0.8041392124520002,80.42458082497214,8
