target_violation,alloc_a,alloc_b,capacity_saving,feasible,operator,family,setting_a,setting_b
0.01,,1.402666818553308,,False,gp,conformal_relative,,
0.02,,1.3024763315137862,,False,gp,conformal_relative,,
0.05,,1.3024763315137862,,False,gp,conformal_relative,,
0.1,1.188466210687988,1.152190600954503,-0.031484035456836104,True,gp,conformal_relative,0.95,0.15
0.01,,1.402666818553308,,False,gp,conformal_adaptive,,
0.02,,1.3024763315137862,,False,gp,conformal_adaptive,,
0.05,,1.3024763315137862,,False,gp,conformal_adaptive,,
0.1,1.1750125720922857,1.152190600954503,-0.019807461646429273,True,gp,conformal_adaptive,0.95,0.15
0.01,,1.402666818553308,,False,gp,conformal_marginal,,
0.02,,1.3024763315137862,,False,gp,conformal_marginal,,
0.05,,1.3024763315137862,,False,gp,conformal_marginal,,
0.1,1.1832948396521432,1.152190600954503,-0.026995740697652454,True,gp,conformal_marginal,0.95,0.15
0.01,,1.402666818553308,,False,gp,quantile,,
0.02,,1.3024763315137862,,False,gp,quantile,,
0.05,,1.3024763315137862,,False,gp,quantile,,
0.1,,1.152190600954503,,False,gp,quantile,,
