model_a,model_b,dm_stat,p_value,significant_fdr,winner
cnn,drift,-16.840697434260324,0.0,True,cnn
cnn,gru,-2.6892157897899276,0.007388477423199813,True,cnn
cnn,lstm,-3.5893371831869754,0.0003624143732681162,True,cnn
cnn,persistence,-7.00508050704457,7.55107087968554e-12,True,cnn
cnn,random_forest,-3.002819022846717,0.0028016462812721077,True,cnn
cnn,ridge,-4.168914347266365,3.5766277460380635e-05,True,cnn
cnn,rnn,-3.3242502906388016,0.0009481100585417845,True,cnn
cnn,rolling_mean_17,-14.80107740580189,0.0,True,cnn
cnn,seasonal_naive_17,-15.845266812099217,0.0,True,cnn
cnn,seasonal_naive_24,-19.804435694120947,0.0,True,cnn
cnn,train_mean,-15.871249697869878,0.0,True,cnn
cnn,xgboost,-3.289046818567843,0.0010722929820419225,True,cnn
drift,gru,16.648693978082925,0.0,True,gru
drift,lstm,16.482759586626322,0.0,True,lstm
drift,persistence,13.971795855860195,0.0,True,persistence
drift,random_forest,16.528557275461743,0.0,True,random_forest
drift,ridge,16.062942843937453,0.0,True,ridge
drift,rnn,16.598118664071517,0.0,True,rnn
drift,rolling_mean_17,11.932668396372296,0.0,True,rolling_mean_17
drift,seasonal_naive_17,8.169856709397369,2.220446049250313e-15,True,seasonal_naive_17
drift,seasonal_naive_24,-6.333543266444532,5.131355340637356e-10,True,drift
drift,train_mean,9.014091316667852,0.0,True,train_mean
drift,xgboost,16.35031470281733,0.0,True,xgboost
gru,lstm,-2.249296397091862,0.024904903316195215,True,gru
gru,persistence,-6.643660087234147,7.630585052709193e-11,True,gru
gru,random_forest,-0.5516811299941495,0.5814002434294774,False,tie
gru,ridge,-1.3916885365877254,0.16460272717955227,False,tie
gru,rnn,-0.31952840639476726,0.7494522388246803,False,tie
gru,rolling_mean_17,-14.334772212248394,0.0,True,gru
gru,seasonal_naive_17,-15.655275093312637,0.0,True,gru
gru,seasonal_naive_24,-19.431895490258057,0.0,True,gru
gru,train_mean,-15.459984571811317,0.0,True,gru
gru,xgboost,-1.1796314132474854,0.23867807049072964,False,tie
lstm,persistence,-6.287219300761434,6.778047012545585e-10,True,lstm
lstm,random_forest,0.26606064760023496,0.7902963620802839,False,tie
lstm,ridge,-0.4783638633467673,0.6325892566277238,False,tie
lstm,rnn,1.2650374998987068,0.20641590830870338,False,tie
lstm,rolling_mean_17,-14.242301431990887,0.0,True,lstm
lstm,seasonal_naive_17,-15.552401318545465,0.0,True,lstm
lstm,seasonal_naive_24,-19.397789491694816,0.0,True,lstm
lstm,train_mean,-15.388843026418506,0.0,True,lstm
lstm,xgboost,-0.4431156286756726,0.6578635958358956,False,tie
persistence,random_forest,5.715415323603012,1.8314910921191085e-08,True,random_forest
persistence,ridge,5.921433647647274,5.753528764529392e-09,True,ridge
persistence,rnn,6.805900603698697,2.7345237185727456e-11,True,rnn
persistence,rolling_mean_17,-7.400238301389872,5.39124300757976e-13,True,persistence
persistence,seasonal_naive_17,-11.558457527634518,0.0,True,persistence
persistence,seasonal_naive_24,-16.647723398727155,0.0,True,persistence
persistence,train_mean,-9.431966975738286,0.0,True,persistence
persistence,xgboost,5.263949515223504,2.0545386969494928e-07,True,xgboost
random_forest,ridge,-0.6967548816975061,0.4862628371797375,False,tie
random_forest,rnn,0.4153450398256606,0.6780580644661778,False,tie
random_forest,rolling_mean_17,-14.001200833367799,0.0,True,random_forest
random_forest,seasonal_naive_17,-15.389087953723115,0.0,True,random_forest
random_forest,seasonal_naive_24,-19.52380042134432,0.0,True,random_forest
random_forest,train_mean,-16.128054429043953,0.0,True,random_forest
random_forest,xgboost,-1.3656966417506398,0.17261567380723575,False,tie
ridge,rnn,1.4997099464882997,0.13428722657032255,False,tie
ridge,rolling_mean_17,-13.217532113718804,0.0,True,ridge
ridge,seasonal_naive_17,-14.995985927540122,0.0,True,ridge
ridge,seasonal_naive_24,-19.182190739578793,0.0,True,ridge
ridge,train_mean,-14.461945580237122,0.0,True,ridge
ridge,xgboost,-0.0348152452596066,0.9722402216014279,False,tie
rnn,rolling_mean_17,-14.314857882591639,0.0,True,rnn
rnn,seasonal_naive_17,-15.59045695471394,0.0,True,rnn
rnn,seasonal_naive_24,-19.49482792500774,0.0,True,rnn
rnn,train_mean,-15.461211009290208,0.0,True,rnn
rnn,xgboost,-1.0540506225273696,0.2923418359440253,False,tie
rolling_mean_17,seasonal_naive_17,-4.960220751595557,9.508909617483852e-07,True,rolling_mean_17
rolling_mean_17,seasonal_naive_24,-16.758999802174184,0.0,True,rolling_mean_17
rolling_mean_17,train_mean,-6.300688167765994,6.252229844960766e-10,True,rolling_mean_17
rolling_mean_17,xgboost,13.147604649813454,0.0,True,xgboost
seasonal_naive_17,seasonal_naive_24,-12.583740308045577,0.0,True,seasonal_naive_17
seasonal_naive_17,train_mean,0.2676608621259485,0.7890649021525631,False,tie
seasonal_naive_17,xgboost,14.9209990289207,0.0,True,xgboost
seasonal_naive_24,train_mean,15.207598296492847,0.0,True,train_mean
seasonal_naive_24,xgboost,19.367633033663743,0.0,True,xgboost
train_mean,xgboost,15.583759265013494,0.0,True,xgboost
