model,mae_mean,mae_std,mae_count,mape_mean,mape_std,mape_count,mase_mean,mase_std,mase_count,n_test_mean,n_test_std,n_test_count,rmse_mean,rmse_std,rmse_count,vs_persistence,beats_persistence
cnn,5.607822175086345,0.7370010125860438,8,6.874687839426029,0.7777679658027876,8,0.3991871512155167,0.05341400431418385,8,66.125,0.3535533905932738,8,7.875287876958043,1.0293543644181335,8,0.35257412363744883,True
gru,6.289707348265818,0.6860378135995274,8,7.712545592129542,1.006211878257686,8,0.447722306772717,0.04996033431882741,8,66.125,0.3535533905932738,8,8.558695562371362,1.0315938293865061,8,0.2963913114590924,True
rnn,6.413845164564407,0.6216668638111758,8,7.8524345642454385,0.6531798592543305,8,0.45662194372510245,0.0465380056066568,8,66.125,0.3535533905932738,8,8.625381791774762,0.864786515910958,8,0.2909090495802432,True
random_forest,5.856468062085916,1.2319193798434827,8,7.330484396061252,1.0699102940844771,8,0.41714172963934476,0.09031402175412376,8,66.125,0.3535533905932738,8,8.672922983653615,1.430485867341753,8,0.2870006974925002,True
lstm,6.497407327338793,0.5524612636861633,8,7.982907015067089,0.9954017023247954,8,0.4625553106188796,0.04129781292083975,8,66.125,0.3535533905932738,8,8.816085011184338,0.7972446516240573,8,0.2752313752043453,True
xgboost,5.953132677128996,1.395760846996438,8,7.422910877880532,1.0631376041892016,8,0.4241434249743178,0.10267489246115329,8,66.125,0.3535533905932738,8,8.845865145599136,1.661012316637254,8,0.2727831561775708,True
ridge,6.799360572327912,1.0402673138332528,8,8.186220972617821,0.9796513188635173,8,0.48397465222962577,0.07483168704701518,8,66.125,0.3535533905932738,8,8.87939592284001,1.3316391409598234,8,0.27002659753749797,True
persistence,6.522293225857643,0.6549229193848517,8,8.218555679067494,0.5441997949874258,8,0.46435663529791105,0.048771709265529525,8,66.125,0.3535533905932738,8,12.163999253789434,1.0896886305206146,8,0.0,False
rolling_mean_17,12.452828254578927,1.563569249941289,8,15.302854729639018,1.2944413204149188,8,0.8865299086583245,0.11393924418925493,8,66.125,0.3535533905932738,8,16.137667212050456,1.6374984945898232,8,-0.3266744658031042,False
train_mean,14.739177201945663,2.244255420251108,8,17.97825534446326,1.1035966065050595,8,1.0495600048144629,0.1645155314291869,8,66.125,0.3535533905932738,8,18.21237450909714,2.0493313675615794,8,-0.4972357469870332,False
seasonal_naive_17,14.618312396511476,1.6786538741295125,8,17.990653361282604,1.4095232101554345,8,1.0408069011973033,0.12401167570742253,8,66.125,0.3535533905932738,8,18.381161369426398,1.6964552872943883,8,-0.5111116817686534,False
drift,19.22140923116754,4.9026874679247765,8,24.143496000959317,6.298262005454149,8,1.367585456748722,0.3466688368544414,8,66.125,0.3535533905932738,8,23.64523943381463,5.188770902231117,8,-0.9438705100584794,False
seasonal_naive_24,25.190121605191937,3.3213209448095347,8,29.000287032076994,2.4300613135893947,8,1.7929160818506533,0.2372311207807702,8,66.125,0.3535533905932738,8,29.717031505944348,3.3979521898102583,8,-1.4430313489773228,False
