model,rmse_mean,config,operator
random_forest,10.562437655674517,full_corrected,gp
xgboost,10.78683572084131,full_corrected,gp
ridge,11.299558130010983,full_corrected,gp
random_forest,8.650911632770706,full_plus_lags1_24,gp
xgboost,8.73311103413673,full_plus_lags1_24,gp
ridge,9.007191423534952,full_plus_lags1_24,gp
random_forest,8.672922983653613,lags1_24_only,gp
xgboost,8.845865145599136,lags1_24_only,gp
ridge,8.87939592284001,lags1_24_only,gp
random_forest,8.863029759994147,lags1_12_only,gp
xgboost,8.963873430510832,lags1_12_only,gp
ridge,10.195486046379273,lags1_12_only,gp
random_forest,9.135500424496652,lags1_8_only,gp
xgboost,9.290035034564253,lags1_8_only,gp
ridge,10.960765175356986,lags1_8_only,gp
random_forest,20.722108856736323,full_corrected,robi
xgboost,21.113684002411897,full_corrected,robi
ridge,22.92758750528869,full_corrected,robi
random_forest,20.529112116353968,full_plus_lags1_24,robi
xgboost,20.773030188144247,full_plus_lags1_24,robi
ridge,21.01108549198681,full_plus_lags1_24,robi
ridge,20.14294561257156,lags1_24_only,robi
random_forest,20.519398033065023,lags1_24_only,robi
xgboost,21.23898493036952,lags1_24_only,robi
random_forest,20.928696938914765,lags1_12_only,robi
xgboost,21.089963563452415,lags1_12_only,robi
ridge,23.795679061845284,lags1_12_only,robi
random_forest,21.209549920568257,lags1_8_only,robi
xgboost,21.62560335931255,lags1_8_only,robi
ridge,25.631418473771994,lags1_8_only,robi
