model_a,model_b,dm_stat,p_value,significant_fdr,winner
cnn,drift,-17.55575208331074,0.0,True,cnn
cnn,gru,0.23859115977975387,0.8115169785741063,False,tie
cnn,lstm,-0.6963431491308398,0.4865262894239848,False,tie
cnn,persistence,-5.656206132572865,2.5620215060584428e-08,True,cnn
cnn,random_forest,-1.1523167083938937,0.2497224668015976,False,tie
cnn,ridge,-0.1617733043956509,0.8715474554052727,False,tie
cnn,rnn,-0.6601446402616509,0.5094544392600553,False,tie
cnn,rolling_mean_15,-17.315946753258316,0.0,True,cnn
cnn,seasonal_naive_15,-4.3125442262427205,1.932814578009534e-05,True,cnn
cnn,seasonal_naive_24,-22.502174336477694,0.0,True,cnn
cnn,train_mean,-16.85337126904471,0.0,True,cnn
cnn,xgboost,-1.8889451300284783,0.059457522814104546,False,tie
drift,gru,17.600305227309608,0.0,True,gru
drift,lstm,17.57488680277846,0.0,True,lstm
drift,persistence,14.894812503076578,0.0,True,persistence
drift,random_forest,17.39808832640262,0.0,True,random_forest
drift,ridge,17.533747450094793,0.0,True,ridge
drift,rnn,17.537160663157966,0.0,True,rnn
drift,rolling_mean_15,12.87685453381179,0.0,True,rolling_mean_15
drift,seasonal_naive_15,15.699340898318265,0.0,True,seasonal_naive_15
drift,seasonal_naive_24,-2.0574948432325364,0.04013860923430168,False,tie
drift,train_mean,11.842592051549511,0.0,True,train_mean
drift,xgboost,17.276860696516085,0.0,True,xgboost
gru,lstm,-3.085870360046389,0.0021380967457174105,True,gru
gru,persistence,-6.181302452794308,1.2891412382032286e-09,True,gru
gru,random_forest,-1.0620950805632832,0.2886874319740951,False,tie
gru,ridge,-0.3303748818972138,0.7412502952099387,False,tie
gru,rnn,-1.2577257260792598,0.20905765780188945,False,tie
gru,rolling_mean_15,-17.637871725173696,0.0,True,gru
gru,seasonal_naive_15,-4.37712292343963,1.4552599456596482e-05,True,gru
gru,seasonal_naive_24,-22.524841281149126,0.0,True,gru
gru,train_mean,-16.805661739484368,0.0,True,gru
gru,xgboost,-1.8735921364263157,0.061549456231397404,False,tie
lstm,persistence,-6.027301310978184,3.168599160829899e-09,True,lstm
lstm,random_forest,-0.40880832793543226,0.6828492848090497,False,tie
lstm,ridge,0.37215023583566437,0.7099331931828465,False,tie
lstm,rnn,0.05037174926935414,0.9598455655949616,False,tie
lstm,rolling_mean_15,-17.49804022038698,0.0,True,lstm
lstm,seasonal_naive_15,-4.127083721069393,4.2807759675245194e-05,True,lstm
lstm,seasonal_naive_24,-22.444209869147862,0.0,True,lstm
lstm,train_mean,-16.905268145529543,0.0,True,lstm
lstm,xgboost,-1.264404101438569,0.20665363160564398,False,tie
persistence,random_forest,5.177497045701077,3.223779336813948e-07,True,random_forest
persistence,ridge,5.600327897654225,3.476344900832373e-08,True,ridge
persistence,rnn,6.113668468535573,1.9178816312859226e-09,True,rnn
persistence,rolling_mean_15,-8.534058190411395,2.220446049250313e-16,True,persistence
persistence,seasonal_naive_15,1.6011534368867435,0.10995257936131941,False,tie
persistence,seasonal_naive_24,-18.300470777707968,0.0,True,persistence
persistence,train_mean,-9.382454731978903,0.0,True,persistence
persistence,xgboost,5.30237078159477,1.695559970205096e-07,True,xgboost
random_forest,ridge,0.7091882675884329,0.4785267198017622,False,tie
random_forest,rnn,0.43458264037297056,0.6640463736101667,False,tie
random_forest,rolling_mean_15,-17.495620257377666,0.0,True,random_forest
random_forest,seasonal_naive_15,-4.18064010005671,3.412836462235447e-05,True,random_forest
random_forest,seasonal_naive_24,-22.469687053858735,0.0,True,random_forest
random_forest,train_mean,-16.86884378153519,0.0,True,random_forest
random_forest,xgboost,-1.3188296165814883,0.18780882172488722,False,tie
ridge,rnn,-0.3806782212399417,0.7035980926620078,False,tie
ridge,rolling_mean_15,-17.865434112516294,0.0,True,ridge
ridge,seasonal_naive_15,-4.351046102500163,1.632656710093272e-05,True,ridge
ridge,seasonal_naive_24,-22.604254099220107,0.0,True,ridge
ridge,train_mean,-16.849959429925175,0.0,True,ridge
ridge,xgboost,-1.3148072571041487,0.18915647767606592,False,tie
rnn,rolling_mean_15,-17.333304002902302,0.0,True,rnn
rnn,seasonal_naive_15,-4.235521474308787,2.698758296970638e-05,True,rnn
rnn,seasonal_naive_24,-22.339782540135353,0.0,True,rnn
rnn,train_mean,-16.501047871328876,0.0,True,rnn
rnn,xgboost,-1.302078065208512,0.19346838073764494,False,tie
rolling_mean_15,seasonal_naive_15,10.854073112606697,0.0,True,seasonal_naive_15
rolling_mean_15,seasonal_naive_24,-18.846916167382023,0.0,True,rolling_mean_15
rolling_mean_15,train_mean,-4.1931821877071584,3.2353061256706894e-05,True,rolling_mean_15
rolling_mean_15,xgboost,16.675304090189485,0.0,True,xgboost
seasonal_naive_15,seasonal_naive_24,-19.893683654948607,0.0,True,seasonal_naive_15
seasonal_naive_15,train_mean,-11.413493008371681,0.0,True,seasonal_naive_15
seasonal_naive_15,xgboost,3.6795980650422204,0.00025805736286854675,True,xgboost
seasonal_naive_24,train_mean,16.798671398189036,0.0,True,train_mean
seasonal_naive_24,xgboost,22.169478114182517,0.0,True,xgboost
train_mean,xgboost,16.120508635233048,0.0,True,xgboost
