model,mae_mean,mae_std,mae_count,mape_mean,mape_std,mape_count,mase_mean,mase_std,mase_count,n_test_mean,n_test_std,n_test_count,rmse_mean,rmse_std,rmse_count,vs_persistence,beats_persistence
gru,13.815624488946714,2.6526708228593545,8,13.528366136664966,3.6281083065093505,8,0.8200503014068115,0.1638302480710845,8,64.875,2.4748737341529163,8,19.87646534918643,4.663543056485978,8,0.33443932901147716,True
ridge,13.876308640935525,2.4944823713448114,8,13.074417598387294,2.7694761808477137,8,0.824217786414527,0.15953163589411287,8,64.875,2.4748737341529163,8,20.14294561257156,4.2173166239204685,8,0.32551627454540405,True
cnn,14.031458346028504,1.966243729533766,8,13.753838145151978,3.471134809810938,8,0.8321146053552722,0.12029145875071147,8,64.875,2.4748737341529163,8,20.16021680498688,3.9166783000216485,8,0.324937951075372,True
rnn,13.988873533743554,2.4971801259026005,8,13.768035329019183,3.6365908132395637,8,0.8306922337116239,0.1575679066370255,8,64.875,2.4748737341529163,8,20.216951837465796,4.982611303577842,8,0.32303818642296267,True
lstm,14.205395737019053,2.6760189395022707,8,14.098492561520285,3.9148917838465165,8,0.84272195749174,0.16320859192887238,8,64.875,2.4748737341529163,8,20.292667608216917,4.680399127115761,8,0.32050285439585297,True
random_forest,13.930907872425674,2.4332476548482687,8,13.898074649467835,4.2119084906575575,8,0.8256539554572874,0.14565120144375818,8,64.875,2.4748737341529163,8,20.519398033065023,4.88590582385731,8,0.31291081773116525,True
xgboost,13.987661233472991,1.6367718467383958,8,13.686845679697356,3.3402471172560726,8,0.8292533994439135,0.10086451004211476,8,64.875,2.4748737341529163,8,21.23898493036952,3.9351093588253825,8,0.2888155508016187,True
seasonal_naive_15,17.153282350352114,4.27534980500021,8,15.751377092854849,4.470261570877986,8,1.0194171734347497,0.2674064589106483,8,64.875,2.4748737341529163,8,26.216337210533034,6.973973029512781,8,0.12214960365586637,True
persistence,17.191300616197182,1.9687834604158638,8,17.86005398627869,3.0078749880590587,8,1.0203903653849111,0.1305667612841073,8,64.875,2.4748737341529163,8,29.864242608663975,4.501714421320248,8,0.0,False
rolling_mean_15,36.073961781103286,4.838535169971443,8,33.44424786767172,6.061975591546455,8,2.142207996319462,0.3186275946551111,8,64.875,2.4748737341529163,8,42.46106720892101,5.253944597893162,8,-0.42180291545724796,False
train_mean,37.131237625394064,5.491615365188612,8,36.20578511423414,7.4994442127535175,8,2.205304233242927,0.35822763482281417,8,64.875,2.4748737341529163,8,45.0825994890676,5.226303764769694,8,-0.5095845583570432,False
drift,56.38619277932776,19.021573985228233,8,47.69056942844989,20.905522756888764,8,3.3500401328180685,1.1545311843865305,8,64.875,2.4748737341529163,8,66.59356058687989,21.826745008906983,8,-1.2298760916026146,False
seasonal_naive_24,65.66918904049295,8.310341422769012,8,53.72249168797463,9.192218641142398,8,3.8978323459989404,0.5406908414329947,8,64.875,2.4748737341529163,8,73.36341831248257,8.175049580806023,8,-1.4565638336730817,False
