horizon_hours,lead_hours,arm,k_days,n_train,rmse
1.5,1.43,persistence,0,0,12.51384638343052
1.5,1.43,gp_only,3,51,17.96795491681277
1.5,1.43,transfer,3,51,16.170107677109478
1.5,1.43,robi_cold,3,0,14.279031692106502
1.5,1.43,gp_only,5,85,17.810764330634367
1.5,1.43,transfer,5,85,16.30717048355295
1.5,1.43,robi_cold,5,0,13.82240485261961
1.5,1.43,gp_only,7,118,14.783666085554259
1.5,1.43,transfer,7,118,14.462630105073057
1.5,1.43,robi_cold,7,0,13.589709827065146
1.5,1.43,gp_only,14,231,12.608157546647929
1.5,1.43,transfer,14,231,12.860972672392927
1.5,1.43,robi_cold,14,0,13.812562423164689
1.5,1.43,gp_only,21,347,13.19914674359009
1.5,1.43,transfer,21,347,13.14909566408745
1.5,1.43,robi_cold,21,0,14.080705107411472
6.0,5.73,persistence,0,0,26.48618800887387
6.0,5.73,gp_only,3,51,20.611936842494565
6.0,5.73,transfer,3,51,19.65421187804326
6.0,5.73,robi_cold,3,0,20.389611694270275
6.0,5.73,gp_only,5,85,19.812548054980454
6.0,5.73,transfer,5,85,19.87181648033531
6.0,5.73,robi_cold,5,0,20.012802354029073
6.0,5.73,gp_only,7,118,18.978184045891844
6.0,5.73,transfer,7,118,19.905433095673637
6.0,5.73,robi_cold,7,0,19.744276905016644
6.0,5.73,gp_only,14,231,14.817242461718092
6.0,5.73,transfer,14,231,15.626065504724659
6.0,5.73,robi_cold,14,0,19.06104620046114
6.0,5.73,gp_only,21,347,15.85915724732462
6.0,5.73,transfer,21,347,17.4446951863969
6.0,5.73,robi_cold,21,0,19.041514430264073
