operator,model,params,inner_rmse,eval_rmse
gp,ridge,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""alpha"": 52.045817156790996}",8.464905604404683,8.68751844926732
gp,random_forest,"{""lookback"": 12, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 800, ""max_depth"": 20, ""min_samples_leaf"": 2, ""max_features"": 1.0}",8.722125811486203,8.743764433763683
gp,xgboost,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 800, ""learning_rate"": 0.024701434275270624, ""max_depth"": 6, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""min_child_weight"": 6}",8.712626441785455,8.753271467876667
gp,cnn_cov,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.004327576253748584, ""batch_size"": 64, ""dropout"": 0.2}",8.02734583529459,8.278792243001062
gp,lstm_cov,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014832463186443675, ""batch_size"": 64, ""dropout"": 0.0}",7.826345665145785,8.370031989148023
gp,gru_cov,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.002115503167645315, ""batch_size"": 32, ""dropout"": 0.2}",7.712340509703488,8.32864430696979
gp,rnn_cov,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014832463186443675, ""batch_size"": 64, ""dropout"": 0.0}",8.028283097467776,8.241329196992286
gp,dlinear,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0022041702360035714, ""batch_size"": 16, ""dropout"": 0.0, ""kernel"": 5, ""weight_decay"": 0.0}",8.690057130568947,9.670570953994684
gp,nlinear,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0008245367096287046, ""batch_size"": 16, ""dropout"": 0.2, ""weight_decay"": 0.0001}",7.994239707944618,8.907395806864878
gp,tcn,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.0008042780320198182, ""batch_size"": 16, ""dropout"": 0.1, ""channels"": 64, ""levels"": 4, ""kernel"": 5}",7.403568318858393,8.171224027594853
gp,transformer,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.000877114104189874, ""batch_size"": 64, ""dropout"": 0.1, ""d_model"": 32, ""n_heads"": 1, ""n_layers"": 2}",8.729515649557522,8.699140387465784
gp,nbeats,"{""lookback"": 12, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.008041132710693342, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 3, ""covariates"": false}",7.02158082186807,7.883485249579959
gp,nbeatsx,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0009595345861332414, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 2, ""exog_dim"": 8}",7.535687009797074,8.080257149821712
robi,ridge,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""alpha"": 98.52780515323208}",16.16541157248447,20.00033254270587
robi,random_forest,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": 0.3}",17.346268717046602,19.467111802180494
robi,xgboost,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 400, ""learning_rate"": 0.013473162839719551, ""max_depth"": 3, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""min_child_weight"": 6}",17.905786911800668,19.699972837137913
robi,cnn_cov,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""epochs"": 20, ""lr"": 0.003777347641562237, ""batch_size"": 64, ""dropout"": 0.1}",16.552235757396787,20.07236950002312
robi,lstm_cov,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.002115503167645315, ""batch_size"": 32, ""dropout"": 0.2}",15.642662246227426,20.213337432795367
robi,gru_cov,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.002115503167645315, ""batch_size"": 32, ""dropout"": 0.2}",15.779677578770462,20.298524775828344
robi,rnn_cov,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.002115503167645315, ""batch_size"": 32, ""dropout"": 0.2}",15.747210333894964,20.2557981009815
robi,dlinear,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0030559049795942806, ""batch_size"": 16, ""dropout"": 0.1, ""kernel"": 13, ""weight_decay"": 0.001}",17.32872673897123,20.362757378416344
robi,nlinear,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 40, ""lr"": 0.007735207318226624, ""batch_size"": 64, ""dropout"": 0.1, ""weight_decay"": 0.0001}",16.57797647345011,20.29364113038893
robi,tcn,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0010668859333840307, ""batch_size"": 32, ""dropout"": 0.2, ""channels"": 16, ""levels"": 3, ""kernel"": 2}",16.02370373668373,19.959082783091436
robi,transformer,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 40, ""lr"": 0.00238239570222417, ""batch_size"": 16, ""dropout"": 0.0, ""d_model"": 16, ""n_heads"": 4, ""n_layers"": 2}",15.837226233535647,22.513600137926478
robi,nbeats,"{""lookback"": 8, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.00040338497375612463, ""batch_size"": 32, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 4, ""block_layers"": 2, ""covariates"": false}",16.59223555843509,21.05529248010007
robi,nbeatsx,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0004311133151502874, ""batch_size"": 16, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 2, ""exog_dim"": 32}",15.970173975608953,20.33371467994326
