model,trial,rmse,params,failure,operator
dlinear,11,8.690057130568947,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0022041702360035714, ""batch_size"": 16, ""dropout"": 0.0, ""kernel"": 5, ""weight_decay"": 0.0}",,gp
dlinear,17,8.752304740324648,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0015153197078841272, ""batch_size"": 64, ""dropout"": 0.0, ""kernel"": 25, ""weight_decay"": 0.0001}",,gp
dlinear,28,8.753028164866608,"{""lookback"": 12, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.008041132710693342, ""batch_size"": 16, ""dropout"": 0.1, ""kernel"": 13, ""weight_decay"": 0.0001}",,gp
dlinear,4,9.02744059141395,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.00902353369029003, ""batch_size"": 32, ""dropout"": 0.2, ""kernel"": 25, ""weight_decay"": 0.001}",,gp
dlinear,12,9.254806518625417,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0021772450274178527, ""batch_size"": 16, ""dropout"": 0.2, ""kernel"": 13, ""weight_decay"": 0.0001}",,gp
dlinear,0,9.282917422559605,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006090623834547103, ""batch_size"": 16, ""dropout"": 0.2, ""kernel"": 5, ""weight_decay"": 0.0}",,gp
dlinear,20,9.469497977846252,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.000762094746862932, ""batch_size"": 64, ""dropout"": 0.2, ""kernel"": 5, ""weight_decay"": 0.001}",,gp
dlinear,2,9.796687210739668,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.002868466359123466, ""batch_size"": 32, ""dropout"": 0.2, ""kernel"": 13, ""weight_decay"": 0.0001}",,gp
dlinear,7,10.005770147157246,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0015906043868565668, ""batch_size"": 16, ""dropout"": 0.0, ""kernel"": 13, ""weight_decay"": 0.001}",,gp
dlinear,9,10.11723914598794,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0008245367096287046, ""batch_size"": 16, ""dropout"": 0.2, ""kernel"": 13, ""weight_decay"": 0.0}",,gp
