model,trial,rmse,params,failure,operator
nbeats,28,7.02158082186807,"{""lookback"": 12, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.008041132710693342, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 3, ""covariates"": false}",,gp
nbeats,27,7.325784657816264,"{""lookback"": 12, ""context"": ""all"", ""epochs"": 20, ""lr"": 0.0016278369701668953, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 2, ""covariates"": false}",,gp
nbeats,22,7.366381828995567,"{""lookback"": 8, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.000877114104189874, ""batch_size"": 16, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 2, ""covariates"": false}",,gp
nbeats,21,7.400896324351728,"{""lookback"": 12, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.000779313398209815, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 32, ""n_blocks"": 3, ""block_layers"": 4, ""covariates"": false}",,gp
nbeats,20,7.429413253968437,"{""lookback"": 12, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.000762094746862932, ""batch_size"": 64, ""dropout"": 0.2, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 4, ""covariates"": false}",,gp
nbeats,0,7.43547552897149,"{""lookback"": 8, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.006090623834547103, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 2, ""covariates"": false}",,gp
nbeats,4,7.442801061880236,"{""lookback"": 8, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.00902353369029003, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 4, ""block_layers"": 4, ""covariates"": false}",,gp
nbeats,17,7.68520298085792,"{""lookback"": 8, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0015153197078841272, ""batch_size"": 64, ""dropout"": 0.2, ""width"": 32, ""n_blocks"": 4, ""block_layers"": 3, ""covariates"": false}",,gp
nbeats,11,7.807854461286851,"{""lookback"": 12, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0022041702360035714, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 32, ""n_blocks"": 2, ""block_layers"": 2, ""covariates"": false}",,gp
nbeats,3,7.900249229058889,"{""lookback"": 24, ""context"": ""all"", ""epochs"": 20, ""lr"": 0.0003752383327282697, ""batch_size"": 32, ""dropout"": 0.2, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 3, ""covariates"": false}",,gp
nbeats,2,7.918397491445336,"{""lookback"": 24, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.002868466359123466, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 3, ""covariates"": false}",,gp
nbeats,1,8.011025090975394,"{""lookback"": 24, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.004722825262766322, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 32, ""n_blocks"": 4, ""block_layers"": 3, ""covariates"": false}",,gp
nbeats,23,8.051870442881318,"{""lookback"": 24, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.003739177642980758, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 64, ""n_blocks"": 2, ""block_layers"": 3, ""covariates"": false}",,gp
nbeats,13,8.059526933413835,"{""lookback"": 24, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0008709643895065476, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 32, ""n_blocks"": 3, ""block_layers"": 3, ""covariates"": false}",,gp
nbeats,12,8.2150809656552,"{""lookback"": 24, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0021772450274178527, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 3, ""covariates"": false}",,gp
nbeats,9,8.453066201169342,"{""lookback"": 24, ""context"": ""none"", ""epochs"": 120, ""lr"": 0.0008245367096287046, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 2, ""covariates"": false}",,gp
