model,trial,rmse,params,failure,operator
nbeatsx,24,7.535687009797074,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0009595345861332414, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 2, ""exog_dim"": 8}",,gp
nbeatsx,6,7.924978228755999,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0006647780626301326, ""batch_size"": 32, ""dropout"": 0.2, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 2, ""exog_dim"": 32}",,gp
nbeatsx,8,8.139321497554874,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0006047240031389557, ""batch_size"": 64, ""dropout"": 0.0, ""width"": 128, ""n_blocks"": 4, ""block_layers"": 4, ""exog_dim"": 16}",,gp
nbeatsx,19,8.44090841495096,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.004287997510905307, ""batch_size"": 32, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 2, ""exog_dim"": 16}",,gp
nbeatsx,14,8.503900546577247,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""epochs"": 20, ""lr"": 0.003777347641562237, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 4, ""exog_dim"": 16}",,gp
nbeatsx,29,8.515126762582364,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.001379498776181559, ""batch_size"": 64, ""dropout"": 0.2, ""width"": 32, ""n_blocks"": 4, ""block_layers"": 2, ""exog_dim"": 32}",,gp
nbeatsx,21,8.676638350916042,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0004311133151502874, ""batch_size"": 16, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 2, ""exog_dim"": 32}",,gp
nbeatsx,10,8.717643614119472,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0021772450274178527, ""batch_size"": 16, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 3, ""exog_dim"": 16}",,gp
nbeatsx,11,8.815494673795518,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.00033423588821499087, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 2, ""exog_dim"": 16}",,gp
nbeatsx,0,9.00057026866218,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006090623834547103, ""batch_size"": 16, ""dropout"": 0.2, ""width"": 32, ""n_blocks"": 2, ""block_layers"": 3, ""exog_dim"": 32}",,gp
nbeatsx,17,9.024842847476132,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 120, ""lr"": 0.00460324885956891, ""batch_size"": 16, ""dropout"": 0.2, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 4, ""exog_dim"": 8}",,gp
nbeatsx,13,9.109172781490564,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.003081699057109436, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 64, ""n_blocks"": 4, ""block_layers"": 2, ""exog_dim"": 8}",,gp
nbeatsx,18,9.119694766595924,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014832463186443675, ""batch_size"": 64, ""dropout"": 0.0, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 4, ""exog_dim"": 16}",,gp
nbeatsx,16,9.132782646734016,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0004537638927164481, ""batch_size"": 32, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 4, ""block_layers"": 3, ""exog_dim"": 32}",,gp
nbeatsx,1,9.670731685102231,"{""lookback"": 36, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0004701352151179019, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 2, ""exog_dim"": 32}",,gp
nbeatsx,2,9.774150036943483,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014203236332087487, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 32, ""n_blocks"": 3, ""block_layers"": 4, ""exog_dim"": 8}",,gp
