model,trial,rmse,params,failure,operator
nlinear,10,7.994239707944618,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0008245367096287046, ""batch_size"": 16, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,gp
nlinear,18,8.160914738804735,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0005387667253111433, ""batch_size"": 32, ""dropout"": 0.0, ""weight_decay"": 0.0}",,gp
nlinear,9,8.531695602020703,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0008970523197638246, ""batch_size"": 64, ""dropout"": 0.2, ""weight_decay"": 0.001}",,gp
nlinear,6,8.695602814779223,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.003290955331432907, ""batch_size"": 64, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,gp
nlinear,14,8.733976026066813,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.0020900446196110392, ""batch_size"": 16, ""dropout"": 0.1, ""weight_decay"": 0.001}",,gp
nlinear,22,8.758710119824949,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0034889149020412525, ""batch_size"": 32, ""dropout"": 0.0, ""weight_decay"": 0.001}",,gp
nlinear,25,8.802453074754736,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006048406074162639, ""batch_size"": 16, ""dropout"": 0.0, ""weight_decay"": 0.001}",,gp
nlinear,17,8.815491566414934,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0046870887377983205, ""batch_size"": 32, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,gp
nlinear,0,8.830972116617964,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006090623834547103, ""batch_size"": 16, ""dropout"": 0.2, ""weight_decay"": 0.0}",,gp
nlinear,8,8.9061101714724,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0006647780626301326, ""batch_size"": 32, ""dropout"": 0.2, ""weight_decay"": 0.001}",,gp
nlinear,29,9.028899392529217,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""epochs"": 120, ""lr"": 0.0010124227776553254, ""batch_size"": 32, ""dropout"": 0.1, ""weight_decay"": 0.0001}",,gp
nlinear,24,9.06684309264642,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014832463186443675, ""batch_size"": 64, ""dropout"": 0.0, ""weight_decay"": 0.001}",,gp
nlinear,1,9.067069572198706,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.004722825262766322, ""batch_size"": 64, ""dropout"": 0.1, ""weight_decay"": 0.0}",,gp
nlinear,26,9.384941952396337,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.00270667776291946, ""batch_size"": 16, ""dropout"": 0.1, ""weight_decay"": 0.0}",,gp
nlinear,23,9.736785888384707,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0014502548792349637, ""batch_size"": 64, ""dropout"": 0.2, ""weight_decay"": 0.0}",,gp
nlinear,5,9.745904580305277,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0005936526433434478, ""batch_size"": 64, ""dropout"": 0.1, ""weight_decay"": 0.0001}",,gp
nlinear,3,9.965697883256139,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.002097425961567699, ""batch_size"": 16, ""dropout"": 0.2, ""weight_decay"": 0.0}",,gp
nlinear,2,10.035631694512302,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 40, ""lr"": 0.007735207318226624, ""batch_size"": 64, ""dropout"": 0.1, ""weight_decay"": 0.0001}",,gp
nlinear,21,10.243496908656995,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.000407944849075801, ""batch_size"": 32, ""dropout"": 0.1, ""weight_decay"": 0.0}",,gp
nlinear,20,10.40726473453964,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.0014340462688275891, ""batch_size"": 16, ""dropout"": 0.1, ""weight_decay"": 0.0}",,gp
nlinear,13,10.853988704603287,"{""lookback"": 8, ""covariates"": false, ""context"": ""all"", ""epochs"": 60, ""lr"": 0.0015651056312531218, ""batch_size"": 64, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,gp
nlinear,7,10.900981553877685,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.0015566745292900604, ""batch_size"": 32, ""dropout"": 0.2, ""weight_decay"": 0.0}",,gp
nlinear,19,10.975851748276405,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0005281029813063607, ""batch_size"": 32, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,gp
nlinear,11,11.919827140688405,"{""lookback"": 8, ""covariates"": true, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.00473709029876819, ""batch_size"": 16, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,gp
nlinear,15,11.99679841517766,"{""lookback"": 12, ""covariates"": true, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.0006366601863260838, ""batch_size"": 32, ""dropout"": 0.0, ""weight_decay"": 0.0001}",,gp
nlinear,28,12.670109370705397,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0004311133151502874, ""batch_size"": 16, ""dropout"": 0.1, ""weight_decay"": 0.001}",,gp
nlinear,4,17.168057858232867,"{""lookback"": 48, ""covariates"": true, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.004281509984674212, ""batch_size"": 64, ""dropout"": 0.1, ""weight_decay"": 0.0}",,gp
nlinear,27,21.811905739062393,"{""lookback"": 36, ""covariates"": true, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0003471319561162857, ""batch_size"": 32, ""dropout"": 0.0, ""weight_decay"": 0.0001}",,gp
nlinear,16,22.513296282839804,"{""lookback"": 48, ""covariates"": true, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.00036805206677463704, ""batch_size"": 64, ""dropout"": 0.0, ""weight_decay"": 0.001}",,gp
nlinear,12,43.15198923870346,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0014996652740795894, ""batch_size"": 32, ""dropout"": 0.1, ""weight_decay"": 0.0}",,gp
