model,trial,rmse,params,failure,operator
random_forest,3,8.722125811486203,"{""lookback"": 12, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 800, ""max_depth"": 20, ""min_samples_leaf"": 2, ""max_features"": 1.0}",,gp
random_forest,16,8.782710903168068,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 0.3}",,gp
random_forest,24,8.835635921378097,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 200, ""max_depth"": 20, ""min_samples_leaf"": 4, ""max_features"": 0.8}",,gp
random_forest,26,8.862171951120319,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.3}",,gp
random_forest,8,8.887671571920693,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 4, ""max_features"": 0.5}",,gp
random_forest,11,8.922850534853056,"{""lookback"": 12, ""covariates"": true, ""context"": ""none"", ""n_estimators"": 800, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": 1.0}",,gp
random_forest,19,8.935109217539745,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}",,gp
random_forest,25,8.970874518828937,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 800, ""max_depth"": 12, ""min_samples_leaf"": 8, ""max_features"": 0.3}",,gp
random_forest,5,9.230133196709426,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""n_estimators"": 300, ""max_depth"": 20, ""min_samples_leaf"": 1, ""max_features"": 1.0}",,gp
random_forest,28,9.264980991212576,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 800, ""max_depth"": 8, ""min_samples_leaf"": 8, ""max_features"": 0.5}",,gp
random_forest,21,9.386382045555676,"{""lookback"": 12, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 800, ""max_depth"": 8, ""min_samples_leaf"": 8, ""max_features"": 0.5}",,gp
random_forest,18,9.511178506231916,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 500, ""max_depth"": 12, ""min_samples_leaf"": 4, ""max_features"": 0.3}",,gp
random_forest,27,9.59467598849019,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 500, ""max_depth"": 8, ""min_samples_leaf"": 8, ""max_features"": 0.3}",,gp
random_forest,17,9.603660648038556,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 500, ""max_depth"": 12, ""min_samples_leaf"": 8, ""max_features"": 0.8}",,gp
random_forest,4,9.708076654385218,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 4, ""max_features"": 1.0}",,gp
random_forest,7,9.915851054030677,"{""lookback"": 36, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 300, ""max_depth"": 12, ""min_samples_leaf"": 2, ""max_features"": 0.3}",,gp
random_forest,22,9.95665513795691,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 500, ""max_depth"": 12, ""min_samples_leaf"": 8, ""max_features"": 1.0}",,gp
random_forest,0,9.988543122180408,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 300, ""max_depth"": 12, ""min_samples_leaf"": 8, ""max_features"": 0.3}",,gp
random_forest,23,10.101052288839826,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": 0.3}",,gp
random_forest,12,10.321938904096314,"{""lookback"": 36, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 300, ""max_depth"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5}",,gp
random_forest,10,10.369974541444066,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 200, ""max_depth"": 20, ""min_samples_leaf"": 2, ""max_features"": 0.5}",,gp
random_forest,20,10.691804229183271,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 8, ""max_features"": 0.3}",,gp
random_forest,6,10.866623019691,"{""lookback"": 36, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 800, ""max_depth"": 12, ""min_samples_leaf"": 8, ""max_features"": 0.8}",,gp
random_forest,2,11.075699423978621,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": 0.8}",,gp
random_forest,9,11.139864865567679,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 800, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": 0.5}",,gp
random_forest,13,11.422510942676505,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 800, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": 0.8}",,gp
random_forest,1,11.50084037466575,"{""lookback"": 36, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 4, ""max_features"": 1.0}",,gp
random_forest,29,11.590539462751847,"{""lookback"": 36, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 800, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": 1.0}",,gp
random_forest,15,11.593110779880528,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 300, ""max_depth"": 20, ""min_samples_leaf"": 2, ""max_features"": 1.0}",,gp
random_forest,14,11.79511359827609,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": 1.0}",,gp
