model,trial,rmse,params,failure,operator
ridge,2,8.464905604404683,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""alpha"": 52.045817156790996}",,gp
ridge,25,8.570177565847684,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""alpha"": 6.431465139967162}",,gp
ridge,21,8.675803733085402,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 17.021282188647742}",,gp
ridge,7,8.807468953844733,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""alpha"": 6.165756859158338}",,gp
ridge,1,8.831006789652232,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""alpha"": 0.003673365030686337}",,gp
ridge,22,8.914053158090914,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 2.5849204103520056}",,gp
ridge,9,8.958570926455147,"{""lookback"": 12, ""covariates"": false, ""context"": ""none"", ""alpha"": 46.805941171978695}",,gp
ridge,19,8.972203666645694,"{""lookback"": 12, ""covariates"": false, ""context"": ""none"", ""alpha"": 0.006894692500619341}",,gp
ridge,15,9.285271670164756,"{""lookback"": 8, ""covariates"": false, ""context"": ""all"", ""alpha"": 10.444411351196589}",,gp
ridge,24,9.31473544949735,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 2.4627290817309357}",,gp
ridge,4,9.433455888940632,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""alpha"": 7.297779219740478}",,gp
ridge,23,9.660850775942071,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""alpha"": 0.004866093407558758}",,gp
ridge,6,9.66097481208017,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""alpha"": 0.0024149243836288073}",,gp
ridge,29,9.660983778542578,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""alpha"": 0.0022377751672086874}",,gp
ridge,0,9.687197320581268,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 141.7710381103998}",,gp
ridge,20,9.841976931518827,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""alpha"": 52.66793185945089}",,gp
ridge,14,10.09622811049522,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""alpha"": 0.7148740910473977}",,gp
ridge,10,10.146256266485109,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""alpha"": 0.0018315660917405199}",,gp
ridge,28,10.510451939735505,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""alpha"": 131.95274815180045}",,gp
ridge,17,10.560072229664625,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""alpha"": 98.52780515323208}",,gp
ridge,16,11.06398621890684,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""alpha"": 15.907085376082922}",,gp
ridge,5,11.07801084393813,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""alpha"": 0.4575991330248486}",,gp
ridge,8,11.63736353872593,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""alpha"": 667.0957078425371}",,gp
ridge,18,11.927935918471567,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""alpha"": 0.053699299890346074}",,gp
ridge,11,13.205908613627193,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""alpha"": 12.539889785680295}",,gp
ridge,13,13.422409617230564,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 0.6566513896063252}",,gp
ridge,12,14.515087407013318,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 0.09014718067142277}",,gp
ridge,27,18.107989100576336,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""alpha"": 0.41716161046317324}",,gp
ridge,3,18.810446209171836,"{""lookback"": 36, ""covariates"": true, ""context"": ""all"", ""alpha"": 0.5038666653302235}",,gp
ridge,26,26.37267812647251,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""alpha"": 0.06663472172259961}",,gp
