model,trial,rmse,params,failure,operator
rnn_cov,27,8.028283097467776,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014832463186443675, ""batch_size"": 64, ""dropout"": 0.0}",,gp
rnn_cov,19,8.249129983596458,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.002115503167645315, ""batch_size"": 32, ""dropout"": 0.2}",,gp
rnn_cov,1,8.285810503189174,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.004327576253748584, ""batch_size"": 64, ""dropout"": 0.2}",,gp
rnn_cov,2,8.407391246020742,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.001101036419609077, ""batch_size"": 16, ""dropout"": 0.2}",,gp
rnn_cov,8,8.544463435132327,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0015566745292900604, ""batch_size"": 64, ""dropout"": 0.0}",,gp
rnn_cov,11,8.560299381517662,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.001167357404587288, ""batch_size"": 64, ""dropout"": 0.0}",,gp
rnn_cov,14,8.71246716059826,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0004897958846904056, ""batch_size"": 16, ""dropout"": 0.0}",,gp
rnn_cov,9,8.78843766235014,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0006647780626301326, ""batch_size"": 32, ""dropout"": 0.2}",,gp
rnn_cov,10,8.829594943379105,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.0034957478129854108, ""batch_size"": 16, ""dropout"": 0.0}",,gp
rnn_cov,16,8.95649036171965,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.002131699356155855, ""batch_size"": 64, ""dropout"": 0.0}",,gp
rnn_cov,15,8.991431266265772,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0021772450274178527, ""batch_size"": 16, ""dropout"": 0.2}",,gp
