model,trial,rmse,params,failure,operator
tcn,28,7.403568318858393,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.0008042780320198182, ""batch_size"": 16, ""dropout"": 0.1, ""channels"": 64, ""levels"": 4, ""kernel"": 5}",,gp
tcn,21,7.963502368895391,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.001365043718971339, ""batch_size"": 64, ""dropout"": 0.0, ""channels"": 32, ""levels"": 2, ""kernel"": 3}",,gp
tcn,16,8.218311786656995,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0005117691688462442, ""batch_size"": 32, ""dropout"": 0.2, ""channels"": 32, ""levels"": 3, ""kernel"": 2}",,gp
tcn,25,8.241033710994706,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0016528859306246743, ""batch_size"": 16, ""dropout"": 0.2, ""channels"": 32, ""levels"": 3, ""kernel"": 5}",,gp
tcn,19,8.647254222250565,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.000779313398209815, ""batch_size"": 32, ""dropout"": 0.0, ""channels"": 16, ""levels"": 3, ""kernel"": 5}",,gp
tcn,15,8.663230475874592,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.00041138952374062445, ""batch_size"": 16, ""dropout"": 0.2, ""channels"": 64, ""levels"": 4, ""kernel"": 3}",,gp
tcn,6,8.83499737949491,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 60, ""lr"": 0.0005829927584962534, ""batch_size"": 32, ""dropout"": 0.0, ""channels"": 64, ""levels"": 3, ""kernel"": 2}",,gp
tcn,17,8.843563073724438,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0010668859333840307, ""batch_size"": 32, ""dropout"": 0.2, ""channels"": 16, ""levels"": 3, ""kernel"": 2}",,gp
tcn,1,8.89210620826101,"{""lookback"": 48, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0004701352151179019, ""batch_size"": 64, ""dropout"": 0.2, ""channels"": 32, ""levels"": 3, ""kernel"": 3}",,gp
tcn,29,9.061216209971617,"{""lookback"": 36, ""covariates"": false, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0006725262623279027, ""batch_size"": 64, ""dropout"": 0.0, ""channels"": 16, ""levels"": 2, ""kernel"": 3}",,gp
