model,trial,rmse,params,failure,operator
transformer,20,8.729515649557522,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.000877114104189874, ""batch_size"": 64, ""dropout"": 0.1, ""d_model"": 32, ""n_heads"": 1, ""n_layers"": 2}",,gp
transformer,28,9.034905835421492,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.0008042780320198182, ""batch_size"": 16, ""dropout"": 0.1, ""d_model"": 64, ""n_heads"": 4, ""n_layers"": 3}",,gp
transformer,2,9.212110443631408,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.005371399173466055, ""batch_size"": 32, ""dropout"": 0.1, ""d_model"": 32, ""n_heads"": 1, ""n_layers"": 1}",,gp
transformer,0,9.374429330912845,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006090623834547103, ""batch_size"": 16, ""dropout"": 0.2, ""d_model"": 16, ""n_heads"": 1, ""n_layers"": 2}",,gp
transformer,25,9.379512106233506,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0016528859306246743, ""batch_size"": 16, ""dropout"": 0.2, ""d_model"": 32, ""n_heads"": 2, ""n_layers"": 3}",,gp
transformer,1,9.546322554410684,"{""lookback"": 48, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0004701352151179019, ""batch_size"": 64, ""dropout"": 0.2, ""d_model"": 32, ""n_heads"": 2, ""n_layers"": 2}",,gp
transformer,12,9.560299393287396,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.00033423588821499087, ""batch_size"": 32, ""dropout"": 0.1, ""d_model"": 64, ""n_heads"": 1, ""n_layers"": 1}",,gp
transformer,11,9.621895222248613,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.004386536574792504, ""batch_size"": 32, ""dropout"": 0.1, ""d_model"": 32, ""n_heads"": 2, ""n_layers"": 2}",,gp
transformer,18,9.6232729613682,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0034889149020412525, ""batch_size"": 32, ""dropout"": 0.0, ""d_model"": 64, ""n_heads"": 4, ""n_layers"": 1}",,gp
transformer,29,9.632222154343063,"{""lookback"": 36, ""covariates"": false, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0006725262623279027, ""batch_size"": 64, ""dropout"": 0.0, ""d_model"": 16, ""n_heads"": 1, ""n_layers"": 2}",,gp
