model,trial,rmse,params,failure,operator
xgboost,20,8.712626441785455,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 800, ""learning_rate"": 0.024701434275270624, ""max_depth"": 6, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""min_child_weight"": 6}",,gp
xgboost,27,8.888082099199913,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 800, ""learning_rate"": 0.05157279371684115, ""max_depth"": 4, ""subsample"": 1.0, ""colsample_bytree"": 0.4, ""min_child_weight"": 1}",,gp
xgboost,13,8.975892481882145,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 400, ""learning_rate"": 0.028117140446520614, ""max_depth"": 6, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""min_child_weight"": 3}",,gp
xgboost,22,9.000854296156275,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 200, ""learning_rate"": 0.028309684708575773, ""max_depth"": 8, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""min_child_weight"": 1}",,gp
xgboost,21,9.001055380281757,"{""lookback"": 12, ""covariates"": true, ""context"": ""none"", ""n_estimators"": 400, ""learning_rate"": 0.025242583260632338, ""max_depth"": 2, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""min_child_weight"": 6}",,gp
xgboost,11,9.052401591867525,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 400, ""learning_rate"": 0.06919898255218529, ""max_depth"": 2, ""subsample"": 0.6, ""colsample_bytree"": 0.4, ""min_child_weight"": 1}",,gp
xgboost,3,9.061692436106163,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 400, ""learning_rate"": 0.012424125377603113, ""max_depth"": 8, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""min_child_weight"": 3}",,gp
xgboost,24,9.092046474704143,"{""lookback"": 8, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 400, ""learning_rate"": 0.01332706456085794, ""max_depth"": 6, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""min_child_weight"": 1}",,gp
xgboost,28,9.149449612915545,"{""lookback"": 12, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 400, ""learning_rate"": 0.24281940460430024, ""max_depth"": 2, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""min_child_weight"": 3}",,gp
xgboost,17,9.158895258491773,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 800, ""learning_rate"": 0.04811147524182623, ""max_depth"": 6, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""min_child_weight"": 3}",,gp
