model,trial,rmse,params,failure,operator
cnn_cov,21,16.552235757396787,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""epochs"": 20, ""lr"": 0.003777347641562237, ""batch_size"": 64, ""dropout"": 0.1}",,robi
cnn_cov,27,16.762894080638503,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014832463186443675, ""batch_size"": 64, ""dropout"": 0.0}",,robi
cnn_cov,29,17.206378040715425,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.001365043718971339, ""batch_size"": 16, ""dropout"": 0.1}",,robi
cnn_cov,8,17.209076003408498,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0015566745292900604, ""batch_size"": 64, ""dropout"": 0.0}",,robi
cnn_cov,23,17.215024180390365,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.0008635502350628375, ""batch_size"": 64, ""dropout"": 0.1}",,robi
cnn_cov,5,17.44192391813652,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.00902353369029003, ""batch_size"": 32, ""dropout"": 0.2}",,robi
cnn_cov,9,17.556104180009683,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0006647780626301326, ""batch_size"": 32, ""dropout"": 0.2}",,robi
cnn_cov,24,17.66893937854699,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0004537638927164481, ""batch_size"": 32, ""dropout"": 0.2}",,robi
cnn_cov,25,17.776895931949056,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.000762094746862932, ""batch_size"": 64, ""dropout"": 0.2}",,robi
cnn_cov,4,17.861832299243435,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.005463905449709552, ""batch_size"": 16, ""dropout"": 0.1}",,robi
cnn_cov,14,18.025716590627766,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0004897958846904056, ""batch_size"": 16, ""dropout"": 0.0}",,robi
cnn_cov,2,18.423282235697695,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.001101036419609077, ""batch_size"": 16, ""dropout"": 0.2}",,robi
cnn_cov,0,18.581541846153627,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006090623834547103, ""batch_size"": 16, ""dropout"": 0.2}",,robi
cnn_cov,1,18.620307052700767,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.004327576253748584, ""batch_size"": 64, ""dropout"": 0.2}",,robi
cnn_cov,16,18.77567075392194,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.002131699356155855, ""batch_size"": 64, ""dropout"": 0.0}",,robi
cnn_cov,6,18.952005998990312,"{""lookback"": 36, ""covariates"": true, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0015412771904202464, ""batch_size"": 32, ""dropout"": 0.0}",,robi
