model,trial,rmse,params,failure,operator
dlinear,15,17.32872673897123,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0030559049795942806, ""batch_size"": 16, ""dropout"": 0.1, ""kernel"": 13, ""weight_decay"": 0.001}",,robi
dlinear,18,17.456048609482522,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.0014340462688275891, ""batch_size"": 16, ""dropout"": 0.1, ""kernel"": 5, ""weight_decay"": 0.0}",,robi
dlinear,26,17.672832100133263,"{""lookback"": 36, ""covariates"": false, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.0023014784572347575, ""batch_size"": 32, ""dropout"": 0.1, ""kernel"": 13, ""weight_decay"": 0.0001}",,robi
dlinear,2,17.762251245208592,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.002868466359123466, ""batch_size"": 32, ""dropout"": 0.2, ""kernel"": 13, ""weight_decay"": 0.0001}",,robi
dlinear,29,17.88197522556727,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0018622680385912665, ""batch_size"": 64, ""dropout"": 0.1, ""kernel"": 5, ""weight_decay"": 0.0}",,robi
dlinear,12,18.05870259696287,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0021772450274178527, ""batch_size"": 16, ""dropout"": 0.2, ""kernel"": 13, ""weight_decay"": 0.0001}",,robi
dlinear,27,18.238381580139492,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.0016278369701668953, ""batch_size"": 32, ""dropout"": 0.2, ""kernel"": 5, ""weight_decay"": 0.0}",,robi
dlinear,17,18.405209696533035,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0015153197078841272, ""batch_size"": 64, ""dropout"": 0.0, ""kernel"": 25, ""weight_decay"": 0.0001}",,robi
dlinear,10,18.407406847106504,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.00473709029876819, ""batch_size"": 64, ""dropout"": 0.1, ""kernel"": 13, ""weight_decay"": 0.001}",,robi
dlinear,7,18.738922118618223,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0015906043868565668, ""batch_size"": 16, ""dropout"": 0.0, ""kernel"": 13, ""weight_decay"": 0.001}",,robi
dlinear,28,18.749131211606624,"{""lookback"": 12, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.008041132710693342, ""batch_size"": 16, ""dropout"": 0.1, ""kernel"": 13, ""weight_decay"": 0.0001}",,robi
dlinear,22,18.85996276835237,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.000877114104189874, ""batch_size"": 64, ""dropout"": 0.1, ""kernel"": 13, ""weight_decay"": 0.0}",,robi
dlinear,9,19.093790276727216,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0008245367096287046, ""batch_size"": 16, ""dropout"": 0.2, ""kernel"": 13, ""weight_decay"": 0.0}",,robi
dlinear,6,19.352237521980484,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0009404024833332966, ""batch_size"": 64, ""dropout"": 0.1, ""kernel"": 5, ""weight_decay"": 0.0001}",,robi
dlinear,11,19.411614391347047,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0022041702360035714, ""batch_size"": 16, ""dropout"": 0.0, ""kernel"": 5, ""weight_decay"": 0.0}",,robi
dlinear,8,19.424171285362075,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.0034957478129854108, ""batch_size"": 16, ""dropout"": 0.0, ""kernel"": 25, ""weight_decay"": 0.001}",,robi
dlinear,21,19.847811785697985,"{""lookback"": 12, ""covariates"": true, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.000779313398209815, ""batch_size"": 16, ""dropout"": 0.0, ""kernel"": 13, ""weight_decay"": 0.001}",,robi
dlinear,5,19.918525910635683,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0003498074693330022, ""batch_size"": 32, ""dropout"": 0.0, ""kernel"": 25, ""weight_decay"": 0.001}",,robi
dlinear,4,19.94650184525755,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.00902353369029003, ""batch_size"": 32, ""dropout"": 0.2, ""kernel"": 25, ""weight_decay"": 0.001}",,robi
dlinear,14,19.98257891376433,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 60, ""lr"": 0.005980681243786213, ""batch_size"": 16, ""dropout"": 0.0, ""kernel"": 25, ""weight_decay"": 0.0}",,robi
dlinear,0,20.039022688217955,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006090623834547103, ""batch_size"": 16, ""dropout"": 0.2, ""kernel"": 5, ""weight_decay"": 0.0}",,robi
dlinear,1,20.216146119933516,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.004722825262766322, ""batch_size"": 32, ""dropout"": 0.0, ""kernel"": 25, ""weight_decay"": 0.0001}",,robi
