model,trial,rmse,params,failure,operator
nbeats,24,16.59223555843509,"{""lookback"": 8, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.00040338497375612463, ""batch_size"": 32, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 4, ""block_layers"": 2, ""covariates"": false}",,robi
nbeats,27,16.94104172635797,"{""lookback"": 12, ""context"": ""all"", ""epochs"": 20, ""lr"": 0.0016278369701668953, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 2, ""covariates"": false}",,robi
nbeats,5,17.200422870994927,"{""lookback"": 36, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.0003498074693330022, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 32, ""n_blocks"": 4, ""block_layers"": 4, ""covariates"": false}",,robi
nbeats,25,17.282361195544365,"{""lookback"": 8, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0004979824873677988, ""batch_size"": 16, ""dropout"": 0.2, ""width"": 32, ""n_blocks"": 2, ""block_layers"": 3, ""covariates"": false}",,robi
nbeats,13,17.439899759033825,"{""lookback"": 24, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0008709643895065476, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 32, ""n_blocks"": 3, ""block_layers"": 3, ""covariates"": false}",,robi
nbeats,21,17.56263795028659,"{""lookback"": 12, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.000779313398209815, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 32, ""n_blocks"": 3, ""block_layers"": 4, ""covariates"": false}",,robi
nbeats,17,17.572101242295968,"{""lookback"": 8, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0015153197078841272, ""batch_size"": 64, ""dropout"": 0.2, ""width"": 32, ""n_blocks"": 4, ""block_layers"": 3, ""covariates"": false}",,robi
nbeats,3,17.594064007189466,"{""lookback"": 24, ""context"": ""all"", ""epochs"": 20, ""lr"": 0.0003752383327282697, ""batch_size"": 32, ""dropout"": 0.2, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 3, ""covariates"": false}",,robi
nbeats,20,18.045459011867138,"{""lookback"": 12, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.000762094746862932, ""batch_size"": 64, ""dropout"": 0.2, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 4, ""covariates"": false}",,robi
nbeats,6,18.104544594909722,"{""lookback"": 48, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0009404024833332966, ""batch_size"": 64, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 2, ""block_layers"": 3, ""covariates"": false}",,robi
nbeats,8,18.247126974930683,"{""lookback"": 48, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0034957478129854108, ""batch_size"": 64, ""dropout"": 0.0, ""width"": 32, ""n_blocks"": 4, ""block_layers"": 4, ""covariates"": false}",,robi
nbeats,9,18.25493425733453,"{""lookback"": 24, ""context"": ""none"", ""epochs"": 120, ""lr"": 0.0008245367096287046, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 2, ""covariates"": false}",,robi
nbeats,11,18.276527683080246,"{""lookback"": 12, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0022041702360035714, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 32, ""n_blocks"": 2, ""block_layers"": 2, ""covariates"": false}",,robi
nbeats,28,18.515724583097093,"{""lookback"": 12, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.008041132710693342, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 3, ""covariates"": false}",,robi
nbeats,4,18.583028739252075,"{""lookback"": 8, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.00902353369029003, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 4, ""block_layers"": 4, ""covariates"": false}",,robi
nbeats,12,18.59725739107171,"{""lookback"": 24, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0021772450274178527, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 3, ""covariates"": false}",,robi
nbeats,23,18.67191211186893,"{""lookback"": 24, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.003739177642980758, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 64, ""n_blocks"": 2, ""block_layers"": 3, ""covariates"": false}",,robi
nbeats,29,18.7154105122367,"{""lookback"": 48, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.0018622680385912665, ""batch_size"": 16, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 2, ""block_layers"": 2, ""covariates"": false}",,robi
nbeats,2,18.78209143308346,"{""lookback"": 24, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.002868466359123466, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 3, ""covariates"": false}",,robi
nbeats,22,19.068183281200586,"{""lookback"": 8, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.000877114104189874, ""batch_size"": 16, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 2, ""covariates"": false}",,robi
nbeats,15,19.235750671318957,"{""lookback"": 48, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.0030559049795942806, ""batch_size"": 16, ""dropout"": 0.0, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 4, ""covariates"": false}",,robi
nbeats,18,19.276435109403163,"{""lookback"": 48, ""context"": ""all"", ""epochs"": 60, ""lr"": 0.0014340462688275891, ""batch_size"": 64, ""dropout"": 0.0, ""width"": 64, ""n_blocks"": 2, ""block_layers"": 2, ""covariates"": false}",,robi
nbeats,0,19.50736754604142,"{""lookback"": 8, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.006090623834547103, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 2, ""covariates"": false}",,robi
nbeats,19,19.743542614482774,"{""lookback"": 36, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.000407944849075801, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 32, ""n_blocks"": 3, ""block_layers"": 4, ""covariates"": false}",,robi
nbeats,1,20.044621665142998,"{""lookback"": 24, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.004722825262766322, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 32, ""n_blocks"": 4, ""block_layers"": 3, ""covariates"": false}",,robi
nbeats,16,20.792442200219934,"{""lookback"": 48, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.005209254754151384, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 32, ""n_blocks"": 3, ""block_layers"": 2, ""covariates"": false}",,robi
nbeats,14,20.87399797348482,"{""lookback"": 48, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.005980681243786213, ""batch_size"": 32, ""dropout"": 0.0, ""width"": 32, ""n_blocks"": 4, ""block_layers"": 2, ""covariates"": false}",,robi
nbeats,10,21.380954326321362,"{""lookback"": 48, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.00473709029876819, ""batch_size"": 16, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 4, ""covariates"": false}",,robi
nbeats,7,21.386454625565182,"{""lookback"": 36, ""context"": ""all"", ""epochs"": 60, ""lr"": 0.0015906043868565668, ""batch_size"": 16, ""dropout"": 0.0, ""width"": 32, ""n_blocks"": 3, ""block_layers"": 4, ""covariates"": false}",,robi
nbeats,26,21.903152064079894,"{""lookback"": 36, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.0023014784572347575, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 3, ""covariates"": false}",,robi
