model,trial,rmse,params,failure,operator
nbeatsx,21,15.970173975608953,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0004311133151502874, ""batch_size"": 16, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 2, ""exog_dim"": 32}",,robi
nbeatsx,11,16.390971546980982,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.00033423588821499087, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 2, ""exog_dim"": 16}",,robi
nbeatsx,29,16.71432179738085,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.001379498776181559, ""batch_size"": 64, ""dropout"": 0.2, ""width"": 32, ""n_blocks"": 4, ""block_layers"": 2, ""exog_dim"": 32}",,robi
nbeatsx,8,17.089589074505486,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0006047240031389557, ""batch_size"": 64, ""dropout"": 0.0, ""width"": 128, ""n_blocks"": 4, ""block_layers"": 4, ""exog_dim"": 16}",,robi
nbeatsx,16,17.222357818815222,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0004537638927164481, ""batch_size"": 32, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 4, ""block_layers"": 3, ""exog_dim"": 32}",,robi
nbeatsx,20,17.805204122933997,"{""lookback"": 8, ""covariates"": true, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.00040338497375612463, ""batch_size"": 64, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 2, ""exog_dim"": 16}",,robi
nbeatsx,10,18.357166145888375,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0021772450274178527, ""batch_size"": 16, ""dropout"": 0.2, ""width"": 64, ""n_blocks"": 3, ""block_layers"": 3, ""exog_dim"": 16}",,robi
nbeatsx,12,18.48618090393006,"{""lookback"": 48, ""covariates"": true, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.00036805206677463704, ""batch_size"": 64, ""dropout"": 0.0, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 3, ""exog_dim"": 16}",,robi
nbeatsx,28,18.874245746797996,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.0008320584722161445, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 4, ""exog_dim"": 32}",,robi
nbeatsx,6,19.046554802228425,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0006647780626301326, ""batch_size"": 32, ""dropout"": 0.2, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 2, ""exog_dim"": 32}",,robi
nbeatsx,13,19.35897328280737,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.003081699057109436, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 64, ""n_blocks"": 4, ""block_layers"": 2, ""exog_dim"": 8}",,robi
nbeatsx,18,19.440602360723734,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014832463186443675, ""batch_size"": 64, ""dropout"": 0.0, ""width"": 128, ""n_blocks"": 2, ""block_layers"": 4, ""exog_dim"": 16}",,robi
nbeatsx,24,19.607494813634606,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0009595345861332414, ""batch_size"": 32, ""dropout"": 0.1, ""width"": 128, ""n_blocks"": 3, ""block_layers"": 2, ""exog_dim"": 8}",,robi
