model,trial,rmse,params,failure,operator
nlinear,2,16.57797647345011,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 40, ""lr"": 0.007735207318226624, ""batch_size"": 64, ""dropout"": 0.1, ""weight_decay"": 0.0001}",,robi
nlinear,20,17.05594885363998,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.0014340462688275891, ""batch_size"": 16, ""dropout"": 0.1, ""weight_decay"": 0.0}",,robi
nlinear,23,17.131881159993963,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0014502548792349637, ""batch_size"": 64, ""dropout"": 0.2, ""weight_decay"": 0.0}",,robi
nlinear,5,17.146579524714365,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0005936526433434478, ""batch_size"": 64, ""dropout"": 0.1, ""weight_decay"": 0.0001}",,robi
nlinear,7,17.602776258978427,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.0015566745292900604, ""batch_size"": 32, ""dropout"": 0.2, ""weight_decay"": 0.0}",,robi
nlinear,26,18.134228115029586,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.00270667776291946, ""batch_size"": 16, ""dropout"": 0.1, ""weight_decay"": 0.0}",,robi
nlinear,18,18.513176531910435,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0005387667253111433, ""batch_size"": 32, ""dropout"": 0.0, ""weight_decay"": 0.0}",,robi
nlinear,3,18.550136628240868,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.002097425961567699, ""batch_size"": 16, ""dropout"": 0.2, ""weight_decay"": 0.0}",,robi
nlinear,24,18.60180957009278,"{""lookback"": 8, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0014832463186443675, ""batch_size"": 64, ""dropout"": 0.0, ""weight_decay"": 0.001}",,robi
nlinear,29,18.705368760567268,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""epochs"": 120, ""lr"": 0.0010124227776553254, ""batch_size"": 32, ""dropout"": 0.1, ""weight_decay"": 0.0001}",,robi
nlinear,10,18.766080524766533,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.0008245367096287046, ""batch_size"": 16, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,robi
nlinear,17,18.78401924765787,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0046870887377983205, ""batch_size"": 32, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,robi
nlinear,13,18.97346455291949,"{""lookback"": 8, ""covariates"": false, ""context"": ""all"", ""epochs"": 60, ""lr"": 0.0015651056312531218, ""batch_size"": 64, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,robi
nlinear,9,19.543185756486718,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0008970523197638246, ""batch_size"": 64, ""dropout"": 0.2, ""weight_decay"": 0.001}",,robi
nlinear,1,19.59502531806147,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.004722825262766322, ""batch_size"": 64, ""dropout"": 0.1, ""weight_decay"": 0.0}",,robi
nlinear,22,19.76165328523156,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0034889149020412525, ""batch_size"": 32, ""dropout"": 0.0, ""weight_decay"": 0.001}",,robi
nlinear,14,20.033531293644646,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.0020900446196110392, ""batch_size"": 16, ""dropout"": 0.1, ""weight_decay"": 0.001}",,robi
nlinear,0,20.486439979064986,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006090623834547103, ""batch_size"": 16, ""dropout"": 0.2, ""weight_decay"": 0.0}",,robi
nlinear,8,20.548841855805367,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0006647780626301326, ""batch_size"": 32, ""dropout"": 0.2, ""weight_decay"": 0.001}",,robi
nlinear,6,20.68764431612421,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.003290955331432907, ""batch_size"": 64, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,robi
nlinear,21,21.1859954565215,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.000407944849075801, ""batch_size"": 32, ""dropout"": 0.1, ""weight_decay"": 0.0}",,robi
nlinear,19,21.30288602585033,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0005281029813063607, ""batch_size"": 32, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,robi
nlinear,11,21.510018152087188,"{""lookback"": 8, ""covariates"": true, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.00473709029876819, ""batch_size"": 16, ""dropout"": 0.2, ""weight_decay"": 0.0001}",,robi
nlinear,25,22.056124670604646,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006048406074162639, ""batch_size"": 16, ""dropout"": 0.0, ""weight_decay"": 0.001}",,robi
nlinear,12,22.431451892700068,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0014996652740795894, ""batch_size"": 32, ""dropout"": 0.1, ""weight_decay"": 0.0}",,robi
nlinear,27,22.809325923031775,"{""lookback"": 36, ""covariates"": true, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0003471319561162857, ""batch_size"": 32, ""dropout"": 0.0, ""weight_decay"": 0.0001}",,robi
nlinear,15,23.13332726192168,"{""lookback"": 12, ""covariates"": true, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.0006366601863260838, ""batch_size"": 32, ""dropout"": 0.0, ""weight_decay"": 0.0001}",,robi
