model,trial,rmse,params,failure,operator
random_forest,23,17.346268717046602,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": 0.3}",,robi
random_forest,20,17.355831070818514,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 8, ""max_features"": 0.3}",,robi
random_forest,16,17.48348716847428,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 0.3}",,robi
random_forest,8,17.498016022264306,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 4, ""max_features"": 0.5}",,robi
random_forest,10,17.604753311962053,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 200, ""max_depth"": 20, ""min_samples_leaf"": 2, ""max_features"": 0.5}",,robi
random_forest,9,17.827999957896054,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 800, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": 0.5}",,robi
random_forest,6,17.955764542563546,"{""lookback"": 36, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 800, ""max_depth"": 12, ""min_samples_leaf"": 8, ""max_features"": 0.8}",,robi
random_forest,1,17.991658678545374,"{""lookback"": 36, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 4, ""max_features"": 1.0}",,robi
random_forest,28,18.050086707421812,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 800, ""max_depth"": 8, ""min_samples_leaf"": 8, ""max_features"": 0.5}",,robi
random_forest,29,18.077327650041727,"{""lookback"": 36, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 800, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": 1.0}",,robi
random_forest,4,18.187828875467776,"{""lookback"": 24, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 4, ""max_features"": 1.0}",,robi
random_forest,24,18.24735051924029,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 200, ""max_depth"": 20, ""min_samples_leaf"": 4, ""max_features"": 0.8}",,robi
random_forest,5,18.354356902333212,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""n_estimators"": 300, ""max_depth"": 20, ""min_samples_leaf"": 1, ""max_features"": 1.0}",,robi
random_forest,18,18.42161630049692,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 500, ""max_depth"": 12, ""min_samples_leaf"": 4, ""max_features"": 0.3}",,robi
random_forest,14,18.450048579427293,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": 1.0}",,robi
random_forest,11,18.500395700656984,"{""lookback"": 12, ""covariates"": true, ""context"": ""none"", ""n_estimators"": 800, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": 1.0}",,robi
random_forest,19,18.602195406347168,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}",,robi
random_forest,22,18.707375632655975,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 500, ""max_depth"": 12, ""min_samples_leaf"": 8, ""max_features"": 1.0}",,robi
random_forest,21,18.752441981778876,"{""lookback"": 12, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 800, ""max_depth"": 8, ""min_samples_leaf"": 8, ""max_features"": 0.5}",,robi
