model,trial,rmse,params,failure,operator
ridge,17,16.16541157248447,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""alpha"": 98.52780515323208}",,robi
ridge,20,16.1754235533193,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""alpha"": 52.66793185945089}",,robi
ridge,28,16.256032167276317,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""alpha"": 131.95274815180045}",,robi
ridge,16,16.645439526615643,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""alpha"": 15.907085376082922}",,robi
ridge,25,17.148845058982957,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""alpha"": 6.431465139967162}",,robi
ridge,9,17.27109220881543,"{""lookback"": 12, ""covariates"": false, ""context"": ""none"", ""alpha"": 46.805941171978695}",,robi
ridge,4,17.318638964600083,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""alpha"": 7.297779219740478}",,robi
ridge,7,17.698952921531816,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""alpha"": 6.165756859158338}",,robi
ridge,24,17.705202657235972,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 2.4627290817309357}",,robi
ridge,18,17.763082061850394,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""alpha"": 0.053699299890346074}",,robi
ridge,1,17.766898617937546,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""alpha"": 0.003673365030686337}",,robi
ridge,23,18.030530026165355,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""alpha"": 0.004866093407558758}",,robi
ridge,6,18.031056361654453,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""alpha"": 0.0024149243836288073}",,robi
ridge,29,18.031094420838382,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""alpha"": 0.0022377751672086874}",,robi
ridge,2,18.21412966538028,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""alpha"": 52.045817156790996}",,robi
ridge,15,18.216047085789505,"{""lookback"": 8, ""covariates"": false, ""context"": ""all"", ""alpha"": 10.444411351196589}",,robi
ridge,14,18.50053238896871,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""alpha"": 0.7148740910473977}",,robi
ridge,19,18.872751057682297,"{""lookback"": 12, ""covariates"": false, ""context"": ""none"", ""alpha"": 0.006894692500619341}",,robi
ridge,10,18.88021567326984,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""alpha"": 0.0018315660917405199}",,robi
ridge,22,18.93343093101829,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 2.5849204103520056}",,robi
ridge,21,19.009575382895505,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 17.021282188647742}",,robi
ridge,0,19.06550881481364,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 141.7710381103998}",,robi
ridge,5,20.528038448169337,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""alpha"": 0.4575991330248486}",,robi
ridge,13,20.561176899554027,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 0.6566513896063252}",,robi
ridge,8,20.836327926876404,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""alpha"": 667.0957078425371}",,robi
ridge,12,21.027647570261454,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""alpha"": 0.09014718067142277}",,robi
ridge,11,24.318805440798442,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""alpha"": 12.539889785680295}",,robi
ridge,3,30.152205092597455,"{""lookback"": 36, ""covariates"": true, ""context"": ""all"", ""alpha"": 0.5038666653302235}",,robi
ridge,27,30.466457860588246,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""alpha"": 0.41716161046317324}",,robi
ridge,26,31.094594694585755,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""alpha"": 0.06663472172259961}",,robi
