model,trial,rmse,params,failure,operator
tcn,17,16.02370373668373,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0010668859333840307, ""batch_size"": 32, ""dropout"": 0.2, ""channels"": 16, ""levels"": 3, ""kernel"": 2}",,robi
tcn,25,16.260973581593145,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0016528859306246743, ""batch_size"": 16, ""dropout"": 0.2, ""channels"": 32, ""levels"": 3, ""kernel"": 5}",,robi
tcn,6,16.306052759414925,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 60, ""lr"": 0.0005829927584962534, ""batch_size"": 32, ""dropout"": 0.0, ""channels"": 64, ""levels"": 3, ""kernel"": 2}",,robi
tcn,21,16.338677786452184,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.001365043718971339, ""batch_size"": 64, ""dropout"": 0.0, ""channels"": 32, ""levels"": 2, ""kernel"": 3}",,robi
tcn,16,16.614217527324143,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0005117691688462442, ""batch_size"": 32, ""dropout"": 0.2, ""channels"": 32, ""levels"": 3, ""kernel"": 2}",,robi
tcn,20,17.064500876142358,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.000877114104189874, ""batch_size"": 64, ""dropout"": 0.1, ""channels"": 32, ""levels"": 2, ""kernel"": 3}",,robi
tcn,15,17.090872668165808,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.00041138952374062445, ""batch_size"": 16, ""dropout"": 0.2, ""channels"": 64, ""levels"": 4, ""kernel"": 3}",,robi
tcn,26,17.096392220136497,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0007650552813844498, ""batch_size"": 64, ""dropout"": 0.0, ""channels"": 32, ""levels"": 3, ""kernel"": 5}",,robi
tcn,27,17.098596493896252,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.006948090179082359, ""batch_size"": 64, ""dropout"": 0.1, ""channels"": 16, ""levels"": 2, ""kernel"": 3}",,robi
tcn,19,17.476371277856526,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.000779313398209815, ""batch_size"": 32, ""dropout"": 0.0, ""channels"": 16, ""levels"": 3, ""kernel"": 5}",,robi
tcn,8,17.51845825092084,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.001167357404587288, ""batch_size"": 64, ""dropout"": 0.0, ""channels"": 16, ""levels"": 4, ""kernel"": 3}",,robi
tcn,28,17.863561291863984,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.0008042780320198182, ""batch_size"": 16, ""dropout"": 0.1, ""channels"": 64, ""levels"": 4, ""kernel"": 5}",,robi
tcn,2,17.888930570083236,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.005371399173466055, ""batch_size"": 32, ""dropout"": 0.1, ""channels"": 32, ""levels"": 2, ""kernel"": 2}",,robi
tcn,29,18.01847247767832,"{""lookback"": 36, ""covariates"": false, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0006725262623279027, ""batch_size"": 64, ""dropout"": 0.0, ""channels"": 16, ""levels"": 2, ""kernel"": 3}",,robi
tcn,5,18.191064758154614,"{""lookback"": 8, ""covariates"": true, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.004086050334527402, ""batch_size"": 64, ""dropout"": 0.1, ""channels"": 64, ""levels"": 3, ""kernel"": 2}",,robi
tcn,1,18.21195696395708,"{""lookback"": 48, ""covariates"": true, ""context"": ""none"", ""epochs"": 90, ""lr"": 0.0004701352151179019, ""batch_size"": 64, ""dropout"": 0.2, ""channels"": 32, ""levels"": 3, ""kernel"": 3}",,robi
tcn,0,18.247743899654434,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.006090623834547103, ""batch_size"": 16, ""dropout"": 0.2, ""channels"": 16, ""levels"": 2, ""kernel"": 3}",,robi
tcn,23,18.97343164266801,"{""lookback"": 12, ""covariates"": true, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0023552265232544517, ""batch_size"": 16, ""dropout"": 0.2, ""channels"": 16, ""levels"": 2, ""kernel"": 5}",,robi
tcn,10,19.110059966921686,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 60, ""lr"": 0.0022041702360035714, ""batch_size"": 16, ""dropout"": 0.0, ""channels"": 16, ""levels"": 2, ""kernel"": 3}",,robi
tcn,24,19.632730046833757,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 40, ""lr"": 0.00238239570222417, ""batch_size"": 16, ""dropout"": 0.0, ""channels"": 16, ""levels"": 4, ""kernel"": 3}",,robi
tcn,12,19.65500314824102,"{""lookback"": 8, ""covariates"": true, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.00033423588821499087, ""batch_size"": 32, ""dropout"": 0.1, ""channels"": 64, ""levels"": 2, ""kernel"": 2}",,robi
tcn,11,19.756823788814543,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.004386536574792504, ""batch_size"": 32, ""dropout"": 0.1, ""channels"": 32, ""levels"": 3, ""kernel"": 3}",,robi
tcn,7,20.16748238532168,"{""lookback"": 12, ""covariates"": true, ""context"": ""none"", ""epochs"": 120, ""lr"": 0.005561464650867318, ""batch_size"": 32, ""dropout"": 0.1, ""channels"": 64, ""levels"": 2, ""kernel"": 2}",,robi
tcn,14,20.266432398782786,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""epochs"": 60, ""lr"": 0.0046870887377983205, ""batch_size"": 64, ""dropout"": 0.1, ""channels"": 32, ""levels"": 3, ""kernel"": 3}",,robi
tcn,4,20.293079529051855,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.004597322158279528, ""batch_size"": 64, ""dropout"": 0.0, ""channels"": 32, ""levels"": 3, ""kernel"": 3}",,robi
tcn,22,20.342919302032545,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 20, ""lr"": 0.0012892748461117948, ""batch_size"": 64, ""dropout"": 0.0, ""channels"": 16, ""levels"": 3, ""kernel"": 2}",,robi
tcn,9,20.46577717319347,"{""lookback"": 8, ""covariates"": true, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.00473709029876819, ""batch_size"": 16, ""dropout"": 0.2, ""channels"": 32, ""levels"": 3, ""kernel"": 5}",,robi
tcn,3,20.468747322980928,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""epochs"": 120, ""lr"": 0.0027483342005095064, ""batch_size"": 64, ""dropout"": 0.0, ""channels"": 64, ""levels"": 4, ""kernel"": 3}",,robi
tcn,13,21.08253391420945,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.00036805206677463704, ""batch_size"": 16, ""dropout"": 0.2, ""channels"": 16, ""levels"": 4, ""kernel"": 2}",,robi
tcn,18,21.32828564821371,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.0034889149020412525, ""batch_size"": 32, ""dropout"": 0.0, ""channels"": 64, ""levels"": 4, ""kernel"": 2}",,robi
