model,trial,rmse,params,failure,operator
transformer,24,15.837226233535647,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 40, ""lr"": 0.00238239570222417, ""batch_size"": 16, ""dropout"": 0.0, ""d_model"": 16, ""n_heads"": 4, ""n_layers"": 2}",,robi
transformer,17,16.5626718528171,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""epochs"": 90, ""lr"": 0.0010668859333840307, ""batch_size"": 32, ""dropout"": 0.2, ""d_model"": 16, ""n_heads"": 2, ""n_layers"": 1}",,robi
transformer,20,16.72134770343514,"{""lookback"": 8, ""covariates"": false, ""context"": ""none"", ""epochs"": 40, ""lr"": 0.000877114104189874, ""batch_size"": 64, ""dropout"": 0.1, ""d_model"": 32, ""n_heads"": 1, ""n_layers"": 2}",,robi
transformer,27,16.74130480891618,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.006948090179082359, ""batch_size"": 64, ""dropout"": 0.1, ""d_model"": 16, ""n_heads"": 1, ""n_layers"": 2}",,robi
transformer,16,16.88756658362966,"{""lookback"": 36, ""covariates"": false, ""context"": ""none"", ""epochs"": 60, ""lr"": 0.0005117691688462442, ""batch_size"": 32, ""dropout"": 0.2, ""d_model"": 32, ""n_heads"": 2, ""n_layers"": 1}",,robi
transformer,28,16.910623890636483,"{""lookback"": 12, ""covariates"": false, ""context"": ""rain_only"", ""epochs"": 90, ""lr"": 0.0008042780320198182, ""batch_size"": 16, ""dropout"": 0.1, ""d_model"": 64, ""n_heads"": 4, ""n_layers"": 3}",,robi
transformer,25,16.97289547484753,"{""lookback"": 24, ""covariates"": false, ""context"": ""none"", ""epochs"": 20, ""lr"": 0.0016528859306246743, ""batch_size"": 16, ""dropout"": 0.2, ""d_model"": 32, ""n_heads"": 2, ""n_layers"": 3}",,robi
transformer,8,17.712359773956795,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""epochs"": 120, ""lr"": 0.001167357404587288, ""batch_size"": 64, ""dropout"": 0.0, ""d_model"": 16, ""n_heads"": 4, ""n_layers"": 2}",,robi
transformer,6,17.714492423938392,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 60, ""lr"": 0.0005829927584962534, ""batch_size"": 32, ""dropout"": 0.0, ""d_model"": 64, ""n_heads"": 2, ""n_layers"": 1}",,robi
transformer,15,17.79951671264416,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""epochs"": 40, ""lr"": 0.00041138952374062445, ""batch_size"": 16, ""dropout"": 0.2, ""d_model"": 64, ""n_heads"": 4, ""n_layers"": 2}",,robi
