model,trial,rmse,params,failure,operator
xgboost,19,17.905786911800668,"{""lookback"": 36, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 400, ""learning_rate"": 0.013473162839719551, ""max_depth"": 3, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""min_child_weight"": 6}",,robi
xgboost,21,17.990538699042357,"{""lookback"": 12, ""covariates"": true, ""context"": ""none"", ""n_estimators"": 400, ""learning_rate"": 0.025242583260632338, ""max_depth"": 2, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""min_child_weight"": 6}",,robi
xgboost,13,17.995674795797413,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 400, ""learning_rate"": 0.028117140446520614, ""max_depth"": 6, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""min_child_weight"": 3}",,robi
xgboost,5,18.014685784316864,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 400, ""learning_rate"": 0.011606558734739106, ""max_depth"": 4, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""min_child_weight"": 6}",,robi
xgboost,25,18.022193002675564,"{""lookback"": 8, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 200, ""learning_rate"": 0.016348569248088956, ""max_depth"": 6, ""subsample"": 0.6, ""colsample_bytree"": 0.4, ""min_child_weight"": 3}",,robi
xgboost,7,18.223073316606747,"{""lookback"": 36, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 200, ""learning_rate"": 0.050428245390731465, ""max_depth"": 3, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""min_child_weight"": 6}",,robi
xgboost,27,18.29509077007373,"{""lookback"": 12, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 800, ""learning_rate"": 0.05157279371684115, ""max_depth"": 4, ""subsample"": 1.0, ""colsample_bytree"": 0.4, ""min_child_weight"": 1}",,robi
xgboost,11,18.54346954961841,"{""lookback"": 12, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 400, ""learning_rate"": 0.06919898255218529, ""max_depth"": 2, ""subsample"": 0.6, ""colsample_bytree"": 0.4, ""min_child_weight"": 1}",,robi
xgboost,0,18.743875969329483,"{""lookback"": 8, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 400, ""learning_rate"": 0.185461273136293, ""max_depth"": 2, ""subsample"": 0.9, ""colsample_bytree"": 0.4, ""min_child_weight"": 1}",,robi
xgboost,12,18.789345445350953,"{""lookback"": 24, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 400, ""learning_rate"": 0.06837892467603714, ""max_depth"": 2, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""min_child_weight"": 3}",,robi
xgboost,3,18.808077544214076,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 400, ""learning_rate"": 0.012424125377603113, ""max_depth"": 8, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""min_child_weight"": 3}",,robi
xgboost,2,18.83983530021155,"{""lookback"": 24, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 800, ""learning_rate"": 0.08934430071955696, ""max_depth"": 4, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""min_child_weight"": 3}",,robi
xgboost,9,18.92930952181868,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""n_estimators"": 400, ""learning_rate"": 0.026662174755311165, ""max_depth"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""min_child_weight"": 1}",,robi
xgboost,24,18.938190899052938,"{""lookback"": 8, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 400, ""learning_rate"": 0.01332706456085794, ""max_depth"": 6, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""min_child_weight"": 1}",,robi
xgboost,29,19.15822896719717,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 200, ""learning_rate"": 0.058761959894822045, ""max_depth"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""min_child_weight"": 1}",,robi
xgboost,1,19.243397861976018,"{""lookback"": 24, ""covariates"": true, ""context"": ""none"", ""n_estimators"": 800, ""learning_rate"": 0.1449146502165535, ""max_depth"": 4, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""min_child_weight"": 3}",,robi
xgboost,18,19.285047909873015,"{""lookback"": 48, ""covariates"": false, ""context"": ""rain_only"", ""n_estimators"": 800, ""learning_rate"": 0.04560651820005272, ""max_depth"": 2, ""subsample"": 0.8, ""colsample_bytree"": 0.4, ""min_child_weight"": 1}",,robi
xgboost,15,19.2877436191302,"{""lookback"": 48, ""covariates"": false, ""context"": ""none"", ""n_estimators"": 200, ""learning_rate"": 0.09500160723894391, ""max_depth"": 2, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""min_child_weight"": 6}",,robi
xgboost,23,19.30256275069313,"{""lookback"": 24, ""covariates"": true, ""context"": ""all"", ""n_estimators"": 800, ""learning_rate"": 0.11554044189792134, ""max_depth"": 6, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""min_child_weight"": 3}",,robi
xgboost,16,19.43368918415338,"{""lookback"": 48, ""covariates"": true, ""context"": ""rain_only"", ""n_estimators"": 400, ""learning_rate"": 0.1593700878237698, ""max_depth"": 3, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""min_child_weight"": 1}",,robi
xgboost,8,19.539072188094504,"{""lookback"": 48, ""covariates"": false, ""context"": ""all"", ""n_estimators"": 800, ""learning_rate"": 0.10823717935982186, ""max_depth"": 2, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""min_child_weight"": 6}",,robi
